RS_Rank,Ticker,Price,Prev_Close,Gain_%,Dist_52WH_%,Above_SMA20,Above_SMA50,Above_SMA200,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
1237,PORWAL.BO,59.28,49.4,20.0,16.37,YES,YES,YES,359.09K,Producer Manufacturing,Auto Parts: Oem,65.0,81.0,80.0,60.0,2.6329,2.5421,16.98K,3.76K,70.88,42.3,895.13M,No,51.97,53.28,53.63,53.82,52.27,497
557,CUBEXTUB.NS,125.82,104.85,20.0,12.44,YES,YES,YES,1061.63K,Non-Energy Minerals,Other Metals/Minerals,84.0,97.0,91.0,73.0,6.1757,5.2021,70.81K,221.04K,143.69,73.1,1.80B,No,81.93,80.14,92.43,83.75,87.09,500
1422,FRONTSP.NS,1394.6,1162.2,20.0,0.0,YES,,,353.53K,Producer Manufacturing,Metal Fabrication,60.0,80.0,,,53.4429,52.3429,15.35K,13.55K,1394.6,1150.5,16.48B,No,1250.05,,,,,26
226,PREMIERPOL.NS,96.72,81.02,19.38,2.11,YES,YES,YES,6516.81K,Non-Energy Minerals,Forest Products,92.0,83.0,93.0,85.0,5.3857,5.3557,568.31K,209.48K,98.8,38.0,10.13B,No,88.22,81.93,60.89,83.45,67.34,500
237,OPTIEMUS.NS,828.35,708.9,16.85,2.62,YES,YES,YES,10627.48K,Distribution Services,Electronics Distributors,92.0,97.0,96.0,94.0,40.525,35.0286,441.31K,1301.91K,850.65,288.0,74.69B,No,594.65,590.43,471.69,603.46,481.96,500
119,MANINDS.NS,986.7,849.9,16.1,1.82,YES,YES,YES,10690.94K,Producer Manufacturing,Industrial Machinery,95.0,95.0,95.0,95.0,60.6107,59.3036,910.15K,2288.49K,1005.0,302.05,74.01B,No,819.49,676.06,512.54,719.06,573.49,501
606,UML.BO,80.22,70.2,14.27,33.7,YES,YES,YES,508.00K,Retail Trade,Electronics/Appliance Stores,82.0,96.0,95.0,75.0,4.1279,3.4443,27.52K,65.20K,121.0,41.75,1.14B,No,60.67,57.1,57.72,59.66,54.74,283
896,RAYMONDREL.NS,671.45,589.5,13.9,8.63,YES,YES,YES,12801.13K,Finance,Real Estate Development,74.0,87.0,53.0,82.0,31.8536,31.6286,611.50K,780.89K,734.9,349.0,44.69B,No,568.4,607.53,530.37,607.18,553.62,310
1418,STML.BO,85.36,75.0,13.81,25.55,YES,YES,YES,18.00K,Communications,Specialty Telecommunications,60.0,92.0,90.0,62.0,2.0036,0.7214,2.55K,3.24K,114.65,49.0,825.96M,No,71.76,69.18,73.1,70.79,67.59,498
506,EIGHTY.BO,47.65,42.0,13.45,4.51,YES,YES,YES,6.00K,Consumer Durables,Other Consumer Specialties,85.0,88.0,63.0,83.0,1.7671,0.6714,3.76K,3.30K,49.9,22.2,485.99M,No,40.21,40.59,35.07,40.14,36.41,498
757,HOCL.BO,43.25,38.26,13.04,7.19,YES,YES,YES,971.70K,Process Industries,Chemicals: Specialty,78.0,86.0,72.0,79.0,2.0629,1.8236,43.25K,50.22K,46.6,21.05,2.91B,No,37.41,37.68,33.88,38.28,35.18,497
172,SWASTIKAAL.BO,126.15,111.7,12.94,12.55,YES,YES,YES,10.00K,Producer Manufacturing,Metal Fabrication,94.0,94.0,98.0,95.0,6.5821,3.5929,20.38K,8.80K,144.25,39.0,1.03B,No,124.68,104.48,70.3,108.72,74.39,290
170,GRERENEW.BO,215.65,192.0,12.32,1.08,YES,YES,,48.00K,Electronic Technology,Semiconductors,94.0,91.0,90.0,94.0,10.7,9.7571,31.43K,37.44K,218.0,77.5,3.08B,No,177.56,176.06,,181.24,147.12,168
920,JAYKAY.NS,212.76,189.5,12.27,3.16,YES,YES,YES,9949.32K,Commercial Services,Miscellaneous Commercial Services,74.0,97.0,77.0,82.0,12.0343,11.6986,420.88K,1080.09K,219.7,115.52,30.00B,No,166.12,160.19,166.19,163.35,163.03,204
582,SHANTIGOLD.NS,288.07,258.04,11.64,1.92,YES,YES,YES,12579.39K,Consumer Durables,Other Consumer Specialties,83.0,75.0,85.0,80.0,14.4907,14.1321,1755.19K,1275.07K,293.7,155.0,22.11B,No,253.74,239.79,214.08,246.6,219.57,287
652,REXNORD.BO,100.51,90.08,11.58,3.82,YES,YES,YES,52.41K,Producer Manufacturing,Industrial Machinery,81.0,86.0,76.0,91.0,6.2571,5.8764,2.67K,7.89K,104.5,49.0,1.33B,No,86.36,83.12,74.01,85.06,75.23,497
480,CRSTCHM.BO,174.8,157.25,11.16,5.51,YES,YES,YES,14.42K,Health Technology,Pharmaceuticals: Other,86.0,96.0,80.0,92.0,10.1214,9.8464,1.63K,4.09K,185.0,73.01,524.40M,No,141.02,134.1,116.02,138.3,122.66,497
634,ANSALBU.NS,100.14,90.12,11.12,6.85,YES,,,179.25K,Consumer Durables,Homebuilding,81.0,95.0,,,8.1429,7.4521,4.83K,5.14K,107.5,70.64,739.42M,No,81.24,,,,,26
1030,MUKANDLTD.NS,157.11,141.41,11.1,1.06,YES,YES,YES,2524.54K,Non-Energy Minerals,Steel,71.0,86.0,75.0,63.0,5.7414,5.6214,154.23K,117.76K,158.8,114.31,22.70B,No,137.79,139.02,134.0,139.75,135.51,500
984,MNIL.BO,40.34,36.35,10.98,25.3,YES,YES,YES,48.98K,Finance,Real Estate Development,72.0,86.0,70.0,31.0,4.5757,4.5721,12.26K,41.03K,54.0,20.01,1.03B,No,35.61,33.6,38.54,34.59,37.96,497
1227,OLAELEC.NS,41.87,37.78,10.83,28.61,YES,YES,YES,389981.72K,Consumer Durables,Motor Vehicles,66.0,82.0,41.0,86.0,1.5829,1.5279,66627.68K,61192.26K,58.65,22.25,185.01B,No,38.36,38.52,35.95,38.73,37.16,501
1053,UNIDT.NS,235.24,212.42,10.74,7.74,YES,YES,YES,330.35K,Industrial Services,Oilfield Services/Equipment,70.0,68.0,65.0,77.0,14.9729,14.9729,10.79K,23.98K,254.97,146.0,4.78B,No,223.66,225.57,207.57,226.33,212.77,498
