Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W
27,CUPID.NS,228.94,20121710.0,Consumer Non-Durables,Household/Personal Care,98.0,91.0,97.0,97.0,9.5693,9.4321,29741580.0,34099010.0,234.5,29.6,307850000000.0,No,179.36,107.67,185.39,124.59
34,STLTECH.NS,530.55,2206640.0,Technology Services,Information Technology Services,98.0,13.0,96.0,98.0,35.075,32.775,3163680.0,2355620.0,679.9,84.6,272660000000.00003,No,566.91,267.34,574.17,331.5
95,DIACABS.NS,328.5,14135390.0,Producer Manufacturing,Electrical Products,96.0,98.0,97.0,97.0,18.3843,17.9729,7802620.0,10764140.0,342.0,115.57,173110000000.0,No,223.2,163.27,228.93,171.26
92,RPTECH.NS,813.0,1870550.0,Distribution Services,Electronics Distributors,96.0,68.0,96.0,96.0,37.4,37.2857,1296160.0,362160.0,842.0,275.6,53580000000.0,No,687.14,453.97,704.76,502.26
97,HFCL.NS,184.69,21034660.0,Electronic Technology,Telecommunications Equipment,96.0,8.0,96.0,97.0,11.165,10.4879,48921360.0,29299150.0,229.5,59.82,282620000000.0,No,197.6,109.28,199.01,124.06
72,BLISSGVS.NS,455.15,239330.0,Health Technology,Pharmaceuticals: Major,96.0,7.0,96.0,97.0,20.8607,20.5143,1847970.0,267610.0,553.0,118.0,48360000000.0,No,462.71,264.5,471.32,307.32
104,RUBICON.NS,1500.2,117680.0,Health Technology,Biotechnology,96.0,83.0,93.0,96.0,67.7357,67.0429,537000.0,266260.0,1589.7,570.75,247670000000.0,No,1332.84,,1348.04,988.03
79,OMNI.NS,585.6,148240.0,Producer Manufacturing,Metal Fabrication,96.0,67.0,93.0,,26.775,26.5179,552850.0,307440.0,630.4,176.25,72420000000.0,No,516.57,,525.25,
102,THANGAMAYL.NS,5807.0,334620.0,Consumer Durables,Other Consumer Specialties,96.0,44.0,92.0,89.0,382.3571,356.6071,247820.0,253250.0,7430.0,1866.0,180490000000.0,No,5712.54,3988.72,5793.38,4399.0
139,SETL.NS,270.25,268340.0,Health Technology,Medical Specialties,95.0,34.0,97.0,95.0,13.8357,13.5714,1022170.0,509240.0,305.3,104.56,54570000000.0,No,217.55,161.2,224.36,160.3
121,E2E.NS,492.55,1787650.0,Technology Services,Information Technology Services,95.0,93.0,96.0,96.0,27.6679,22.5536,1951720.0,2842030.0,567.8,183.36,101200000000.0,No,416.45,294.59,426.38,313.07
107,SHREEJISPG.NS,643.45,569260.0,Transportation,Other Transportation,95.0,95.0,95.0,93.0,17.8,17.4357,1065340.0,646870.0,647.0,222.0,104830000000.0,No,518.74,391.4,533.86,428.87
132,INDSWFTLAB.NS,219.82,369580.0,Health Technology,Pharmaceuticals: Major,95.0,83.0,95.0,95.0,11.5879,11.3921,1191800.0,446950.0,248.45,87.15,19120000000.0,No,193.12,136.97,200.08,154.15
119,AEROFLEX.NS,426.6,1526830.0,Producer Manufacturing,Industrial Machinery,95.0,8.0,90.0,97.0,20.9321,19.9357,2850480.0,1646140.0,521.9,158.0,56450000000.0,No,437.12,276.78,437.1,315.82
113,ATHERENERG.NS,1240.9,2463870.0,Consumer Durables,Motor Vehicles,95.0,83.0,87.0,94.0,58.6929,56.4286,4616310.0,3990200.0,1345.0,337.4,489070000000.0,No,1091.73,824.27,1108.44,879.97
126,KSHINTL.NS,830.95,70910.0,Producer Manufacturing,Electrical Products,95.0,42.0,83.0,96.0,40.1857,40.1857,485320.0,278630.0,930.0,330.0,56300000000.0,No,839.61,,844.42,593.79
173,SCANSTL.NS,60.65,1301630.0,Non-Energy Minerals,Steel,94.0,97.0,96.0,,4.1793,4.1436,169200.0,449250.0,63.0,31.35,,No,42.0,,43.68,
169,LAURUSLABS.NS,1781.3,2402160.0,Health Technology,Pharmaceuticals: Major,94.0,91.0,95.0,92.0,43.1714,42.0357,2436010.0,2544750.0,1798.9,810.05,962460000000.0,No,1484.48,1155.68,1505.84,1222.27
158,AVALON.NS,1759.5,813630.0,Electronic Technology,Electronic Production Equipment,94.0,46.0,95.0,95.0,82.2071,80.7357,552540.0,239870.0,1853.0,777.3,117560000000.0,No,1675.77,1178.98,1709.17,1260.42
154,MBAPL.NS,165.85,1458710.0,Process Industries,Chemicals: Agricultural,94.0,97.0,94.0,94.0,8.6643,8.4643,1439150.0,2930850.0,167.95,74.63,72660000000.0,No,122.05,98.31,126.26,105.56
