Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W
30,SIGMAADV.NS,615.05,784650.0,Technology Services,Information Technology Services,98.0,98.0,98.0,98.0,29.9286,24.4107,423770.0,362760.0,638.1,95.1,108400000000.0,No,370.89,224.57,399.44,252.41
26,STLTECH.NS,613.35,617090.0,Technology Services,Information Technology Services,98.0,92.0,98.0,98.0,36.7036,32.125,5266850.0,2532230.0,679.9,84.6,299420000000.0,No,460.15,213.13,480.49,257.2
61,HFCL.NS,215.0,23439560.0,Electronic Technology,Telecommunications Equipment,97.0,94.0,98.0,97.0,10.4786,7.6579,57571360.0,28638670.0,220.09,59.82,329010000000.0,No,154.95,92.2,161.71,100.81
37,CUPID.NS,182.61,19901720.0,Consumer Non-Durables,Household/Personal Care,97.0,96.0,97.0,96.0,7.8064,7.2593,19583580.0,28654990.0,183.0,20.6,245550000000.0,No,134.22,86.8,139.26,103.02
64,BLISSGVS.NS,491.95,1724350.0,Health Technology,Pharmaceuticals: Major,97.0,94.0,97.0,97.0,21.625,21.5464,2349130.0,977040.0,495.0,118.0,52170000000.0,No,352.02,221.67,366.68,253.47
67,GVPIL.NS,987.25,420960.0,Industrial Services,Engineering & Construction,97.0,91.0,97.0,97.0,56.6929,51.5214,331630.0,459980.0,1084.0,270.9,66370000000.00001,No,761.87,460.73,792.83,520.5
51,MTARTECH.NS,7976.5,154960.0,Electronic Technology,Aerospace & Defense,97.0,52.0,97.0,97.0,551.1429,506.3214,1652780.0,2895560.0,8714.0,1390.5,245350000000.0,No,6944.2,3791.73,7230.13,4534.33
87,RPTECH.NS,780.9,1831040.0,Distribution Services,Electronics Distributors,96.0,97.0,97.0,96.0,46.1964,44.3821,1160900.0,5741950.0,806.2,275.6,51460000000.0,No,550.76,397.21,568.19,431.08
97,OMNI.NS,489.95,203910.0,Producer Manufacturing,Metal Fabrication,96.0,86.0,96.0,,26.3714,25.1714,900030.0,444970.0,548.0,176.25,60590000000.0,No,440.27,,453.7,
96,KIRLOSENG.NS,2484.3,1193910.0,Producer Manufacturing,Electrical Products,96.0,96.0,94.0,96.0,126.2072,105.2357,724080.0,2084570.0000000002,2720.0,829.6,361170000000.0,No,1819.13,1328.29,1863.7,1493.57
133,SHREEREF.BO,377.15,194500.0,Producer Manufacturing,Industrial Machinery,95.0,96.0,96.0,95.0,25.7429,24.0714,224950.0,327450.0,392.0,153.0,13500000000.0,No,265.07,220.74,271.92,216.31
112,AEROFLEX.NS,466.65,1252310.0,Producer Manufacturing,Industrial Machinery,95.0,86.0,96.0,97.0,32.1607,30.4,3181360.0,2722990.0,521.9,158.0,61750000000.0,No,390.63,245.27,403.89,276.39
132,JAYBARMARU.NS,166.85,1181990.0,Distribution Services,Wholesale Distributors,95.0,96.0,95.0,95.0,11.3264,10.9029,1401420.0,1884320.0,178.89,71.01,18060000000.0,No,116.7,99.01,120.46,101.07
130,SYRMA.NS,1440.5,3269250.0,Electronic Technology,Electronic Production Equipment,95.0,95.0,95.0,95.0,57.45,53.8714,1560660.0,1400360.0,1517.7,530.3,277480000000.0,No,1118.17,874.48,1143.74,903.51
109,KSHINTL.NS,844.4,215130.0,Producer Manufacturing,Electrical Products,95.0,84.0,95.0,,51.1,48.3321,543100.0,385090.0,908.9,330.0,57210000000.0,No,726.7,,743.27,
124,RUBICON.NS,1416.6,269390.0,Health Technology,Biotechnology,95.0,96.0,94.0,96.0,81.8643,81.6286,559980.0,646600.0,1468.7,570.75,233390000000.0,No,1085.96,,1105.72,857.12
103,BAJAJCON.NS,578.45,523650.0,Consumer Non-Durables,Household/Personal Care,95.0,64.0,90.0,96.0,26.5679,26.0964,1437080.0,717930.0,632.6,204.61,75560000000.0,No,536.74,359.75,545.95,405.8
