Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
25,CUPID.NS,284.56,284.03,33794.50K,Consumer Non-Durables,Household/Personal Care,98.0,94.0,98.0,98.0,17.1886,16.3771,33329.95K,44544020.0,299.0,32.87,382.64B,No,253.41,216.89,122.9,227.0,144.13,501
36,SIGMAADV.NS,691.35,658.45,89.34K,Technology Services,Information Technology Services,98.0,90.0,98.0,98.0,34.675,29.5393,410.83K,290570.0,721.5,115.98,121.84B,No,641.46,584.07,310.66,602.79,364.43,500
24,SANGINITA.NS,62.5,59.53,40.70K,Process Industries,Chemicals: Specialty,98.0,84.0,98.0,98.0,1.6464,0.1557,168.18K,208460.0,68.02,9.23,1.62B,No,60.29,50.87,24.65,53.62,31.28,499
31,BATLIBOI.NS,85.53,85.85,17.06K,Producer Manufacturing,Industrial Machinery,98.0,61.0,58.0,,6.185,5.8879,79.41K,256200.0,106.5,15.7,4.04B,No,87.52,84.46,,84.76,,89
61,INDSWFTLAB.NS,322.06,346.87,1534.55K,Health Technology,Pharmaceuticals: Major,97.0,95.0,98.0,96.0,19.555,17.3693,1479.56K,2492830.0,348.0,87.15,27.97B,No,257.31,226.55,148.57,238.68,172.43,500
60,BLISSGVS.NS,573.8,546.5,1030.45K,Health Technology,Pharmaceuticals: Major,97.0,81.0,97.0,97.0,27.5821,24.9857,1501.09K,391550.0,573.8,118.0,60.98B,No,488.83,487.55,284.23,498.23,342.69,498
59,UFBL.NS,779.3,780.35,41.28K,Consumer Services,Restaurants,97.0,70.0,97.0,97.0,43.9,40.6964,415.04K,219160.0,845.0,172.34,30.48B,No,741.65,699.59,369.6,719.2,451.67,498
41,STLTECH.NS,621.2,646.0,2138.63K,Technology Services,Information Technology Services,97.0,84.0,91.0,98.0,31.4964,25.4071,2525.07K,1883550.0,683.5,84.6,319.24B,No,601.49,586.98,303.0,593.7,386.76,501
90,UNIVASTU.NS,168.05,176.89,38.04K,Industrial Services,Engineering & Construction,96.0,97.0,98.0,96.0,8.5407,7.12,224.55K,244410.0,173.35,56.02,6.05B,No,141.63,113.33,79.02,120.07,85.4,499
111,SETL.NS,309.6,308.85,638.99K,Health Technology,Medical Specialties,96.0,74.0,98.0,96.0,12.9571,12.0214,1115.42K,999200.0,313.8,104.56,62.52B,No,286.26,256.61,168.56,268.56,176.7,398
110,KABRAEXTRU.NS,500.8,512.6,166.33K,Producer Manufacturing,Industrial Machinery,96.0,98.0,97.0,93.0,37.7571,35.3107,224.14K,655750.0,524.7,180.0,17.51B,No,444.49,340.41,257.27,358.96,274.0,498
91,E2E.NS,631.35,664.55,860.28K,Technology Services,Information Technology Services,96.0,97.0,97.0,96.0,38.5536,35.2357,2076.71K,1907410.0,698.0,183.36,129.72B,No,580.31,474.24,315.17,493.05,355.36,501
98,DIACABS.NS,359.4,367.95,806.81K,Producer Manufacturing,Electrical Products,96.0,98.0,96.0,97.0,19.1114,18.8686,6573.93K,1463940.0,379.0,115.57,214.95B,No,339.28,264.4,176.59,277.69,194.55,499
86,RUBICON.NS,1798.8,1804.1,356.76K,Health Technology,Biotechnology,96.0,91.0,96.0,96.0,72.2857,70.9071,583.78K,564620.0,1820.1,570.75,296.97B,No,1592.81,1462.28,951.58,1494.79,1087.86,207
109,RPTECH.NS,838.25,861.1,229.32K,Distribution Services,Electronics Distributors,96.0,79.0,94.0,95.0,42.1821,39.5107,1348.52K,589500.0,967.7,276.55,55.24B,No,844.11,778.81,491.55,798.74,552.7,501
89,KSHINTL.NS,1006.05,999.45,125.06K,Producer Manufacturing,Electrical Products,96.0,84.0,92.0,97.0,46.3,42.575,509.23K,698850.0,1059.9,330.0,68.17B,No,923.59,881.25,,894.62,656.1,163
108,ATHERENERG.NS,1438.2,1465.8,1688.20K,Consumer Durables,Motor Vehicles,96.0,83.0,92.0,94.0,70.2143,65.2429,4728.06K,4131100.0000000005,1580.0,407.7,575.22B,No,1386.14,1226.27,877.42,1250.86,965.89,325
76,HFCL.NS,226.53,230.03,14939.80K,Electronic Technology,Telecommunications Equipment,96.0,57.0,92.0,97.0,9.42,8.5479,33975.67K,20822970.0,234.4,59.82,346.65B,No,208.07,207.94,118.93,211.79,139.82,501
92,OMNI.NS,586.65,581.6,768.02K,Producer Manufacturing,Metal Fabrication,96.0,68.0,88.0,,53.3107,53.2,1152.50K,4495050.0,764.85,176.25,72.55B,No,597.83,547.3,,552.35,,114
93,SALSTEEL.NS,79.22,72.02,923.75K,Non-Energy Minerals,Steel,96.0,97.0,84.0,90.0,5.3207,5.235,209.96K,715530.0,79.22,15.61,11.47B,No,62.58,59.05,49.09,60.32,53.41,498
106,DEEDEV.NS,644.6,657.25,90.88K,Producer Manufacturing,Industrial Machinery,96.0,16.0,84.0,97.0,34.825,32.1357,187.91K,216880.0,760.0,183.0,48.50B,No,651.33,670.62,395.66,667.11,473.54,498
127,MOREPENLAB.NS,88.42,88.44,10659.94K,Health Technology,Pharmaceuticals: Major,95.0,97.0,97.0,96.0,5.9536,5.6607,18061.33K,46618090.0,92.5,33.05,48.45B,No,70.71,62.03,46.45,64.56,48.72,501
123,PARAS.NS,1496.4,1527.3,3159.60K,Electronic Technology,Aerospace & Defense,95.0,91.0,97.0,96.0,66.3,66.3,3353.11K,1620330.0,1577.0,580.5,120.59B,No,1296.36,1262.79,851.67,1296.85,930.49,501
137,AVALON.NS,2245.6,2197.3,931.40K,Electronic Technology,Electronic Production Equipment,95.0,95.0,96.0,95.0,114.7071,113.4429,502.12K,681060.0,2269.4,777.3,150.03B,No,1867.5,1779.25,1224.2,1842.8,1378.43,498
112,UTLSOLAR.NS,483.95,468.3,620.29K,Electronic Technology,Semiconductors,95.0,94.0,95.0,96.0,22.6393,20.5857,496.23K,645140.0,490.0,172.0,148.53B,No,401.69,363.16,,375.97,286.68,187
121,SKYGOLD.NS,777.75,795.05,580.12K,Consumer Durables,Other Consumer Specialties,95.0,91.0,95.0,96.0,36.9322,33.7072,1418.05K,1957230.0,848.0,259.0,120.45B,No,716.72,624.51,437.81,638.17,482.82,501
144,UNIVCABLES.NS,1662.0,1745.0,185.26K,Electronic Technology,Electronic Components,95.0,96.0,94.0,96.0,99.15,90.4857,297.21K,382190.0,1774.9,576.0,57.66B,No,1477.91,1311.15,956.56,1324.12,1000.88,500
136,SANSERA.NS,3894.3,4003.2,143.71K,Producer Manufacturing,Auto Parts: Oem,95.0,89.0,94.0,95.0,168.8,162.6286,343.58K,394970.0,4038.0,1241.3,243.02B,No,3599.0,3315.72,2396.74,3408.06,2713.51,501
