Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
22,CUPID.NS,276.65,262.71,37866.70K,Consumer Non-Durables,Household/Personal Care,98.0,95.0,98.0,98.0,10.5843,9.9307,30692.38K,31199740.0,277.0,32.68,372.00B,No,231.33,199.33,115.75,212.82,136.71,499
23,SANGINITA.NS,56.77,57.92,17.79K,Process Industries,Chemicals: Specialty,98.0,83.0,98.0,98.0,1.3229,0.0,150.97K,287310.0,68.02,9.23,1.47B,No,59.74,47.77,23.24,51.13,29.67,497
37,STLTECH.NS,620.0,637.75,1088.72K,Technology Services,Information Technology Services,98.0,90.0,93.0,98.0,33.3107,26.675,2958.45K,2542560.0,679.9,84.6,318.62B,No,567.38,583.1,287.24,587.17,368.08,499
48,UFBL.NS,811.05,798.1,110.75K,Consumer Services,Restaurants,97.0,75.0,98.0,98.0,42.8357,40.0393,431.90K,220210.0,829.0,172.34,31.70B,No,721.61,667.54,352.84,706.24,433.51,496
38,SIGMAADV.NS,701.45,703.95,150.69K,Technology Services,Information Technology Services,97.0,91.0,97.0,98.0,34.1286,27.5572,422.23K,322090.0,721.5,108.75,123.62B,No,604.38,556.81,296.27,585.74,348.58,498
96,DIACABS.NS,362.0,360.5,1119.21K,Producer Manufacturing,Electrical Products,96.0,98.0,97.0,97.0,22.2693,21.8157,7383.27K,5709710.0,366.2,115.57,216.50B,No,302.55,246.51,171.21,261.29,186.47,499
81,INDSWFTLAB.NS,284.68,237.24,9122.23K,Health Technology,Pharmaceuticals: Major,96.0,87.0,97.0,96.0,13.5186,11.9979,1122.95K,380480.0,284.68,87.15,24.76B,No,233.29,206.72,141.65,220.38,164.55,497
97,E2E.NS,627.4,602.8,863.02K,Technology Services,Information Technology Services,96.0,98.0,96.0,97.0,35.7643,30.2929,2041.02K,2773490.0,631.6,183.36,128.90B,No,513.53,446.39,304.92,464.62,339.77,499
91,RPTECH.NS,887.8,896.7,171.51K,Distribution Services,Electronics Distributors,96.0,85.0,96.0,96.0,45.2464,43.2607,1355.33K,879610.0,967.7,275.6,58.51B,No,813.32,741.26,475.88,776.13,537.81,499
79,BLISSGVS.NS,494.05,479.8,368.33K,Health Technology,Pharmaceuticals: Major,96.0,25.0,96.0,97.0,22.1714,21.5679,1753.19K,257300.0,553.0,118.0,52.49B,No,475.62,478.89,277.67,483.17,328.48,499
84,ATHERENERG.NS,1525.4,1466.2,4866.56K,Consumer Durables,Motor Vehicles,96.0,94.0,95.0,95.0,65.0572,59.4786,4733.01K,5921470.0,1534.8,398.2,610.10B,No,1321.26,1168.76,853.85,1211.3,939.12,319
103,SKYGOLD.NS,790.05,779.6,1562.84K,Consumer Durables,Other Consumer Specialties,96.0,94.0,95.0,96.0,33.3679,30.1393,1551.48K,1620790.0,815.95,259.0,122.36B,No,673.18,593.33,424.84,612.95,467.5,499
92,KSHINTL.NS,988.95,900.6,3497.46K,Producer Manufacturing,Electrical Products,96.0,88.0,94.0,97.0,42.4036,39.0357,440.11K,217340.0,1045.5,330.0,67.01B,No,886.67,859.14,,872.05,632.87,158
87,OMNI.NS,598.25,552.85,9692.36K,Producer Manufacturing,Metal Fabrication,96.0,78.0,92.0,,54.025,53.5571,995.20K,3341830.0,764.85,176.25,73.98B,No,594.74,540.84,,542.16,,110
