Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
22,TBZ.NS,692.45,665.35,835.39K,Consumer Durables,Other Consumer Specialties,98.0,98.0,98.0,98.0,38.9321,30.7607,2990.96K,1885930.0,698.6,110.5,46.21B,No,501.2,361.24,209.79,394.39,238.72,501
35,BODALCHEM.NS,199.53,192.9,2073.81K,Process Industries,Industrial Specialties,98.0,98.0,98.0,98.0,11.38,9.8707,1854.88K,3219590.0,206.0,42.81,25.13B,No,162.28,107.63,70.61,117.3,81.46,500
23,SIGMAADV.NS,936.7,948.0,251.58K,Technology Services,Information Technology Services,98.0,95.0,94.0,98.0,46.8429,45.0643,339.08K,300130.0,966.6,140.1,165.08B,No,812.62,704.41,384.15,737.05,474.0,500
19,STLTECH.NS,867.1,839.55,1292.32K,Technology Services,Information Technology Services,98.0,95.0,90.0,98.0,45.425,38.6643,2055.54K,2329080.0,912.0,84.6,445.74B,No,799.09,677.6,385.27,709.1,498.37,501
40,KABRAEXTRU.NS,732.85,666.25,402.75K,Producer Manufacturing,Industrial Machinery,97.0,94.0,98.0,97.0,45.6571,43.3393,353.39K,345420.0,741.9,180.0,25.63B,No,642.65,528.54,308.25,562.42,347.61,500
69,MOREPENLAB.NS,122.35,119.04,11257.88K,Health Technology,Pharmaceuticals: Major,97.0,93.0,98.0,97.0,7.1793,7.1207,22026.75K,18693530.0,126.8,33.05,67.04B,No,114.12,89.26,54.64,95.03,61.79,501
46,INDSWFTLAB.NS,405.05,405.55,806.87K,Health Technology,Pharmaceuticals: Major,97.0,91.0,97.0,96.0,23.2143,22.65,1316.76K,819090.0,417.0,87.15,35.22B,No,376.37,310.52,182.27,319.65,213.13,500
63,WELCORP.NS,2796.8,2731.5,1739.95K,Producer Manufacturing,Industrial Machinery,97.0,90.0,97.0,98.0,135.8357,133.1214,1963.19K,2536220.0,2836.0,710.0,737.53B,No,2583.26,2132.07,1319.5,2237.04,1550.64,501
52,BLISSGVS.NS,699.2,694.6,152.19K,Health Technology,Pharmaceuticals: Major,97.0,90.0,92.0,97.0,35.875,35.875,456.87K,253950.0,728.0,118.0,74.35B,No,669.82,568.28,350.16,586.72,421.49,501
42,CUPID.NS,273.85,258.2,52631.74K,Consumer Non-Durables,Household/Personal Care,97.0,36.0,92.0,98.0,12.4321,12.4286,32396.15K,21666640.0,299.0,41.82,368.24B,No,276.15,261.27,149.76,266.9,176.43,501
67,BHAGYANGR.NS,444.65,426.05,146.91K,Producer Manufacturing,Electrical Products,97.0,84.0,72.0,97.0,22.025,20.8179,147.98K,317820.0,467.9,90.1,14.89B,No,407.22,395.48,269.13,401.86,313.25,501
106,INDORAMA.NS,100.0,103.57,1969.08K,Process Industries,Textiles,96.0,98.0,98.0,97.0,8.6471,8.5957,1161.68K,4708070.0,112.3,29.0,26.11B,No,80.97,66.01,47.22,69.71,49.81,501
96,PVP.NS,68.61,65.35,709.08K,Technology Services,Information Technology Services,96.0,97.0,98.0,96.0,3.8457,3.5471,1932.19K,1197470.0,71.9,23.0,17.87B,No,63.88,46.0,34.05,49.55,35.67,500
109,RAYMOND.NS,1114.65,1116.95,4460.89K,Process Industries,Textiles,96.0,98.0,97.0,97.0,83.8036,81.375,2239.92K,8644940.0,1193.4,320.0,74.18B,No,861.73,714.13,520.84,752.52,573.77,501
88,SETL.NS,407.0,402.55,437.95K,Health Technology,Medical Specialties,96.0,95.0,97.0,98.0,19.8929,15.5,1348.48K,1185980.0,468.15,104.56,81.19B,No,406.6,336.79,196.84,347.56,224.1,424
98,CYIENTDLM.NS,963.5,917.2,523.93K,Electronic Technology,Electronic Production Equipment,96.0,94.0,97.0,97.0,54.8143,54.4393,922.07K,586220.0,1009.0,265.2,76.47B,No,888.74,767.6,486.33,792.85,532.59,501
104,DIACABS.NS,377.85,370.85,1102.55K,Producer Manufacturing,Electrical Products,96.0,74.0,97.0,96.0,18.0179,17.5179,4419.50K,951550.0,404.0,115.57,225.98B,No,355.23,337.22,203.45,350.27,232.57,501
86,SHILPAMED.NS,1037.7,1033.15,613.46K,Health Technology,Pharmaceuticals: Major,96.0,93.0,96.0,97.0,46.4429,46.4429,1780.15K,1059010.0,1075.0,259.5,202.96B,No,958.84,815.18,507.7,850.2,594.32,501
105,BIRLACABLE.NS,361.9,375.25,519.02K,Producer Manufacturing,Electrical Products,96.0,94.0,95.0,96.0,25.5964,22.8286,212.53K,752300.0,418.8,104.0,10.86B,No,359.99,286.93,188.14,305.58,212.91,500
100,CALSOFT.NS,40.02,39.64,138.21K,Technology Services,Information Technology Services,96.0,96.0,94.0,97.0,2.5329,1.9479,215.48K,241090.0,43.13,10.9,2.47B,No,38.07,29.28,19.84,31.2,22.31,499
95,NOVARTIND.NS,2027.4,1973.3,77.70K,Health Technology,Pharmaceuticals: Major,96.0,96.0,88.0,,181.4357,171.8285,102.78K,456130.0,2588.8,672.25,50.06B,No,1907.57,1715.06,,1738.78,,115
111,HFCL.NS,217.37,221.06,4416.99K,Electronic Technology,Telecommunications Equipment,96.0,32.0,64.0,97.0,10.41,8.6871,19797.96K,6618000.0,256.7,59.82,332.63B,No,230.69,220.42,138.69,219.96,166.56,501
87,XTRANET.NS,317.65,334.36,1030.38K,Technology Services,Information Technology Services,96.0,98.0,,,28.2093,27.8629,2374.91K,2871980.0,358.5,122.5,16.61B,No,260.1,,,,,40
144,CAPRICORN.BO,30.77,30.17,79.81K,Technology Services,Information Technology Services,95.0,95.0,98.0,96.0,0.6114,0.1414,254.50K,731260.0,31.41,9.41,860.70M,No,28.18,22.46,15.93,23.99,16.07,499
121,FILATEX.NS,108.72,101.07,19494.39K,Process Industries,Textiles,95.0,94.0,97.0,96.0,6.2736,6.2736,5564.97K,9906320.0,111.5,36.26,48.28B,No,83.97,80.41,55.49,84.17,59.85,500
149,RATNAVEER.NS,331.4,332.3,7491.60K,Non-Energy Minerals,Steel,95.0,92.0,96.0,94.0,20.5893,20.3714,7253.10K,9687090.0,343.75,130.5,27.81B,No,301.66,248.23,181.43,258.09,194.04,500
119,MANINDS.NS,986.7,849.9,10690.94K,Producer Manufacturing,Industrial Machinery,95.0,95.0,95.0,95.0,60.6107,59.3036,910.15K,2288490.0,1005.0,302.05,74.01B,No,819.49,676.06,512.54,719.06,573.49,501
133,SKYGOLD.NS,794.1,802.55,1325.05K,Consumer Durables,Other Consumer Specialties,95.0,48.0,94.0,93.0,33.8679,33.8036,1188.32K,660370.0,868.8,259.0,122.99B,No,799.61,752.52,494.93,759.18,559.64,501
138,PAISALO.NS,90.39,93.43,16009.04K,Finance,Finance/Rental/Leasing,95.0,94.0,93.0,96.0,3.7821,3.7079,17153.39K,22249230.0,94.88,30.0,82.63B,No,79.66,74.03,51.39,75.43,58.46,501
129,SANSERA.NS,4621.4,4586.5,546.12K,Producer Manufacturing,Auto Parts: Oem,95.0,89.0,92.0,92.0,177.0357,165.7714,254.91K,316140.0,4743.5,1364.2,288.46B,No,4053.21,3772.98,2696.43,3884.97,3052.66,501
130,SBCL.NS,1156.0,1126.9,358.67K,Non-Energy Minerals,Other Metals/Minerals,95.0,87.0,92.0,96.0,63.8786,61.9857,651.25K,311960.0,1215.7,368.6,66.59B,No,1092.56,962.99,649.38,996.89,734.69,500
122,E2E.NS,635.15,604.95,1183.46K,Technology Services,Information Technology Services,95.0,63.0,92.0,96.0,27.4786,26.2536,1371.83K,592810.0,698.0,183.36,130.50B,No,609.02,580.46,359.38,596.88,415.55,501
137,AVALON.NS,2445.6,2468.5,165.66K,Electronic Technology,Electronic Production Equipment,95.0,83.0,89.0,96.0,142.7357,138.9143,535.57K,914500.0,2618.0,777.3,163.57B,No,2302.6,2060.96,1392.36,2131.54,1600.9,501
