Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
480,DEEPINDS.NS,647.95,638.9,248.08K,Industrial Services,Oilfield Services/Equipment,85.0,97.0,91.0,92.0,35.5071,30.4607,512.84K,1644490.0,661.75,330.0,41.47B,No,533.44,504.51,450.06,517.68,454.86,497
500,NELCO.NS,1007.6,958.9,790.62K,Electronic Technology,Electronic Production Equipment,85.0,84.0,91.0,88.0,46.7786,46.3107,470.66K,567270.0,1026.0,500.1,22.99B,No,940.66,871.15,744.93,912.79,730.84,498
490,MARKSANS.NS,271.45,273.85,675.58K,Health Technology,Pharmaceuticals: Major,85.0,35.0,90.0,89.0,10.3393,9.3964,3027.57K,1051330.0,281.6,155.0,123.01B,No,263.68,258.93,202.66,262.23,210.97,497
503,MINDACORP.NS,736.1,721.65,723.21K,Producer Manufacturing,Auto Parts: Oem,85.0,64.0,89.0,75.0,22.5321,22.2786,539.81K,293460.0,750.8,445.05,173.25B,No,695.06,676.58,588.66,688.21,594.78,496
496,THYROCARE.NS,622.1,603.25,341.79K,Health Services,Medical/Nursing Services,85.0,91.0,86.0,89.0,23.1536,22.4214,678.44K,860830.0,624.9,342.55,99.01B,No,571.96,549.13,462.18,554.71,461.16,498
487,RHETAN.NS,33.76,33.36,11432.42K,Non-Energy Minerals,Steel,85.0,93.0,85.0,76.0,1.13,0.7993,7759.00K,11309650.0,33.97,20.32,26.90B,No,29.94,29.05,26.25,29.34,27.58,216
515,ATALREAL.NS,34.57,35.3,14593.93K,Consumer Durables,Homebuilding,85.0,89.0,80.0,78.0,1.0643,1.05,7714.88K,10131380.0,35.88,17.75,4.28B,No,32.09,30.43,26.66,31.34,27.82,496
482,CHENNPETRO.NS,1240.1,1275.4,782.47K,Energy Minerals,Oil Refining/Marketing,85.0,70.0,77.0,86.0,67.2071,65.15,1397.80K,1791370.0,1354.0,620.85,184.67B,No,1239.86,1184.01,1007.08,1183.57,1055.92,498
486,JINDALSAW.NS,279.05,271.4,2495.68K,Non-Energy Minerals,Steel,85.0,57.0,75.0,87.0,7.8714,7.825,2040.48K,1092560.0,280.0,153.0,177.93B,No,262.75,257.34,206.03,262.64,224.96,497
504,PARACABLES.NS,67.37,68.92,3510.15K,Producer Manufacturing,Electrical Products,85.0,54.0,70.0,91.0,2.7879,2.7093,3603.42K,1307040.0,75.7,28.3,22.05B,No,64.67,66.53,46.47,67.27,50.09,498
494,J&KBANK.NS,155.15,159.24,3025.70K,Finance,Regional Banks,85.0,15.0,69.0,86.0,8.1257,8.0593,5380.97K,8533030.0,201.75,97.35,170.85B,No,170.3,163.37,125.98,166.06,136.51,497
509,BHARATFORG.NS,2093.1,2265.2,5056.85K,Producer Manufacturing,Metal Fabrication,85.0,46.0,59.0,81.0,58.5928,58.1428,1079.79K,748660.0,2295.0,1100.5,1000.69B,No,2174.5,2102.08,1742.61,2128.57,1896.2,497
501,ONIDA.NS,38.97,38.38,388.43K,Electronic Technology,Telecommunications Equipment,85.0,13.0,30.0,71.0,1.565,1.5379,1171.47K,294250.0,49.23,20.78,14.40B,No,38.6,39.73,32.44,39.86,34.8,497
513,ARFIN.NS,87.15,88.03,1586.25K,Non-Energy Minerals,Aluminum,85.0,37.0,26.0,66.0,3.8121,3.8121,2491.25K,1488820.0,106.2,32.0,14.70B,No,87.78,89.23,78.47,89.81,85.5,261
533,SHALPAINTS.NS,84.37,84.47,230.00K,Process Industries,Industrial Specialties,84.0,98.0,94.0,81.0,7.085,7.0186,445.78K,2017170.0,89.8,35.21,7.06B,No,68.07,58.16,59.09,61.49,55.43,497
532,TATATECH.NS,879.15,872.8,4639.46K,Technology Services,Packaged Software,84.0,92.0,90.0,79.0,29.6143,29.1321,1722.05K,3236390.0,888.05,507.4,356.98B,No,758.18,746.49,658.18,765.42,660.3,498
525,VISAKAIND.NS,103.52,98.72,4935.82K,Process Industries,Industrial Specialties,84.0,94.0,88.0,90.0,4.8986,4.6586,418.13K,1705490.0,104.41,50.2,8.94B,No,84.88,80.13,70.52,83.85,71.18,497
552,EXIDEIND.NS,485.4,490.0,3227.30K,Producer Manufacturing,Auto Parts: Oem,84.0,84.0,88.0,85.0,18.3357,18.2964,4827.32K,9042620.0,493.3,287.0,412.59B,No,444.39,416.19,365.15,430.98,366.9,497
521,PAYTM.NS,1584.1,1441.6,20036.44K,Finance,Finance/Rental/Leasing,84.0,89.0,87.0,79.0,52.4286,51.5643,2893.73K,3842010.0,1598.5,930.6,1015.62B,No,1361.15,1227.75,1202.79,1285.19,1164.02,498
535,KAMDHENU.NS,35.19,35.18,205.16K,Non-Energy Minerals,Steel,84.0,74.0,87.0,90.0,1.5564,1.5029,1483.09K,542510.0,37.06,16.15,9.92B,No,34.26,31.06,25.55,32.47,25.79,497
530,GOCLCORP.NS,428.2,438.25,105.99K,Process Industries,Industrial Specialties,84.0,64.0,87.0,90.0,13.8036,12.5607,166.40K,242840.0,459.9,223.35,21.23B,No,403.45,405.97,322.71,411.29,331.0,496
543,GABRIEL.NS,1469.8,1499.8,257.36K,Producer Manufacturing,Auto Parts: Oem,84.0,87.0,86.0,88.0,80.4857,72.4143,565.67K,489210.0,1600.0,795.7,260.49B,No,1421.0,1263.42,1077.03,1301.15,1081.73,497
