Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W
678,SKIPPER.NS,552.25,384670.0,Producer Manufacturing,Metal Fabrication,79.0,47.0,88.0,81.0,19.6822,19.3072,1022280.0,729570.0,593.0,327.05,62350000000.0,No,522.33,453.85,532.1,438.37
689,FILATEX.NS,61.69,2862530.0,Process Industries,Textiles,79.0,87.0,85.0,80.0,3.0257,2.9957,1647280.0,4094140.0,66.99,36.26,27390000000.0,No,50.11,49.16,52.14,46.98
685,NORTHARC.NS,318.9,628570.0,Finance,Finance/Rental/Leasing,79.0,76.0,84.0,79.0,12.9,12.5929,809510.0,897210.0,334.0,206.0,51550000000.0,No,293.19,265.03,296.42,265.82
664,IPCALAB.NS,1840.4,241440.0,Health Technology,Pharmaceuticals: Major,79.0,85.0,79.0,83.0,53.2714,53.2714,274930.0,316250.0,1850.5,1251.6,466920000000.0,No,1626.37,1486.44,1656.77,1551.65
690,BANDHANBNK.NS,207.87,5833710.0,Finance,Major Banks,79.0,48.0,76.0,87.0,7.2036,6.8629,12476270.0,9449370.0,218.13,134.25,334890000000.0,No,203.53,170.99,203.62,177.71
666,POLYCAB.NS,9532.5,464490.0,Producer Manufacturing,Electrical Products,79.0,39.0,76.0,78.0,253.1429,252.3571,395370.0,411880.0,10126.0,6620.0,1435390000000.0,No,9459.59,8045.02,9505.2,8287.92
694,KRISHANA.NS,136.2,792780.0,Process Industries,Chemicals: Agricultural,79.0,46.0,71.0,82.0,8.1236,7.8329,1749430.0,1628380.0,152.3,86.2,42100000000.0,No,136.95,112.61,137.8,116.78
691,ZYDUSWELL.NS,575.9,178650.0,Consumer Non-Durables,Food: Major Diversified,79.0,82.0,69.0,76.0,24.9,24.6071,890170.0,2475550.0,606.95,367.55,183230000000.0,No,523.34,464.44,530.73,471.33
679,ABCAPITAL.NS,399.25,5398730.0,Finance,Multi-Line Insurance,79.0,78.0,68.0,67.0,10.4071,9.6857,4567770.0,4736560.0,410.7,243.0,1092270000000.0,No,370.26,343.19,376.88,351.28
681,MOTHERSON.NS,142.06,12932060.0,Producer Manufacturing,Auto Parts: Oem,79.0,36.0,67.0,73.0,4.3579,4.3171,23584780.0,17905970.0,155.25,89.7,1496070000000.0,No,140.69,122.12,142.76,127.44
673,MAHABANK.NS,79.47,27936840.0,Finance,Major Banks,79.0,9.0,61.0,79.0,3.2314,3.1693,22021470.0,23157160.0,94.5,51.71,611250000000.0,No,83.66,68.65,83.5,73.4
686,NATIONALUM.NS,364.9,11141590.0,Non-Energy Minerals,Aluminum,79.0,26.0,12.0,68.0,11.3071,9.3786,11885770.0,8490350.0,445.15,179.93,670190000000.0,No,382.68,337.86,378.54,376.9
709,IKIO.NS,214.04,6819890.0,Producer Manufacturing,Electrical Products,78.0,96.0,91.0,75.0,16.04,15.3486,1798460.0,7474470.0,252.9,103.53,16540000000.0,No,165.11,167.79,171.59,156.08
697,WEWORK.NS,713.6,234590.0,Finance,Real Estate Development,78.0,79.0,90.0,74.0,32.1964,31.7429,452840.0,705570.0,767.0,420.0,98900000000.0,No,619.32,,638.49,569.0
723,AEGISVOPAK.NS,280.64,3343470.0,Transportation,Air Freight/Couriers,78.0,93.0,89.0,72.0,16.8164,16.6421,1559310.0,4597780.0,311.49,158.0,310950000000.0,No,223.57,229.83,230.21,214.56
703,PREMEXPLN.NS,668.0,409720.0,Process Industries,Chemicals: Specialty,78.0,25.0,89.0,78.0,39.6393,39.5893,1214730.0,1174180.0,829.8,378.4,35930000000.0,No,674.03,562.7,684.2,555.89
726,SPANDANA.NS,303.05,254810.0,Finance,Finance/Rental/Leasing,78.0,95.0,87.0,73.0,12.6571,12.3393,514419.99999999994,613160.0,319.4,181.1,26860000000.0,No,264.88,250.4,268.46,248.21
722,MARINE.NS,255.2,804700.0,Distribution Services,Wholesale Distributors,78.0,60.0,83.0,74.0,13.6964,13.6214,886410.0,758880.0,297.9,150.86,33860000000.0,No,250.2,217.31,253.51,214.46
704,MINDACORP.NS,674.65,355990.0,Producer Manufacturing,Auto Parts: Oem,78.0,65.0,82.0,69.0,22.2286,21.5786,596580.0,463150.0,713.65,445.05,158790000000.0,No,624.18,577.79,640.5,577.39
721,ADANIPORTS.NS,1821.9,1636770.0,Transportation,Other Transportation,78.0,43.0,76.0,78.0,38.4572,37.2072,2796810.0,1911550.0,1891.1,1290.5,4197580000000.0,No,1802.71,1555.73,1817.92,1593.9
720,PHOENIXLTD.NS,2132.5,982200.0,Finance,Real Estate Development,78.0,89.0,73.0,68.0,58.8357,57.75,593010.0,1213110.0,2169.8,1402.5,762710000000.0,No,1855.61,1748.89,1891.34,1778.5
699,MUFIN.NS,128.21,554120.0,Finance,Finance/Rental/Leasing,78.0,61.0,73.0,65.0,3.735,3.7029,2265440.0,1264900.0,138.0,82.99,25410000000.0,No,124.29,112.6,125.47,116.3
