Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,%_From_52WKH
485,RBLBANK.NS,345.0,7270.17K,Finance,Major Banks,83.0,76.0,57.0,77.0,5401.81K,3872610.0,353.0,205.5,213.60B,-2.27
486,SCI.NS,292.3,5139.06K,Transportation,Air Freight/Couriers,83.0,37.0,74.0,82.0,10577.36K,9076900.0,368.75,195.55,136.15B,-20.73
491,SMSPHARMA.NS,369.25,158.71K,Health Technology,Pharmaceuticals: Major,83.0,29.0,43.0,88.0,379.15K,474770.0,447.8,207.7,34.58B,-17.54
493,GROWW.NS,184.89,22231.19K,Miscellaneous,Investment Trusts,83.0,4.0,66.0,75.0,49423.33K,31348510.0,227.2,112.0,1144.76B,-18.62
495,GLENMARK.NS,2274.9,1343.49K,Health Technology,Pharmaceuticals: Major,83.0,30.0,69.0,85.0,700.34K,728790.0,2474.0,1408.1,641.98B,-8.05
497,AUROPHARMA.NS,1426.4,2434.50K,Health Technology,Pharmaceuticals: Other,83.0,55.0,83.0,80.0,1511.36K,1394060.0,1550.0,1016.1,820.72B,-7.97
498,BANDHANBNK.NS,208.3,17289.63K,Finance,Major Banks,83.0,88.0,82.0,90.0,13243.69K,9262970.0,212.66,134.25,335.58B,-2.05
501,SILGO.NS,82.48,543.85K,Consumer Durables,Other Consumer Specialties,83.0,76.0,70.0,87.0,372.56K,596290.0,86.2,51.24,2.16B,-4.32
503,BODALCHEM.NS,70.9,187.05K,Process Industries,Industrial Specialties,83.0,64.0,93.0,87.0,587.58K,916780.0,81.9,42.81,8.93B,-13.43
504,SANDUMA.NS,226.31,2898.31K,Non-Energy Minerals,Other Metals/Minerals,83.0,69.0,71.0,75.0,2209.20K,2184400.0,273.0,141.37,110.01B,-17.1
513,TALBROAUTO.NS,345.35,325.48K,Producer Manufacturing,Industrial Machinery,82.0,82.0,85.0,84.0,278.89K,760450.0,372.8,219.9,21.32B,-7.36
515,ZYDUSWELL.NS,507.05,877.84K,Consumer Non-Durables,Food: Major Diversified,82.0,66.0,86.0,77.0,2912.72K,415860.0,552.4,367.55,161.32B,-8.21
520,MUFIN.NS,123.21,1965.52K,Finance,Finance/Rental/Leasing,82.0,74.0,60.0,74.0,2265.65K,2600280.0,128.18,69.5,24.42B,-3.88
521,BHARATWIRE.NS,223.06,239.23K,Producer Manufacturing,Metal Fabrication,82.0,54.0,84.0,82.0,980.70K,363140.0,262.0,148.01,15.31B,-14.86
522,ADANIPORTS.NS,1804.6,3553.88K,Transportation,Other Transportation,82.0,81.0,80.0,84.0,3336.05K,2363360.0,1842.8,1290.5,4157.72B,-2.07
523,IFCI.NS,68.53,44947.12K,Finance,Finance/Rental/Leasing,82.0,86.0,74.0,87.0,23646.87K,24312970.0,72.16,46.23,184.64B,-5.03
524,THYROCARE.NS,506.3,476.10K,Health Services,Medical/Nursing Services,82.0,93.0,85.0,57.0,508.17K,381140.0,536.67,291.37,80.58B,-5.66
528,SKIPPER.NS,549.35,3458.80K,Producer Manufacturing,Metal Fabrication,82.0,83.0,93.0,77.0,730.08K,887230.0,588.0,327.05,62.02B,-6.57
530,PASUPTAC.NS,59.85,289.56K,Process Industries,Textiles,82.0,90.0,72.0,73.0,196.34K,507350.0,64.3,40.1,5.33B,-6.92
531,ONEPOINT.NS,62.57,4782.40K,Commercial Services,Miscellaneous Commercial Services,82.0,88.0,87.0,79.0,1453.92K,1703540.0,68.95,40.58,16.42B,-9.25
534,TIRUPATIFL.NS,45.05,210.34K,Producer Manufacturing,Industrial Conglomerates,82.0,52.0,79.0,88.0,509.90K,629120.0,52.0,30.11,5.33B,-13.37
539,POCL.NS,1285.3,588.23K,Non-Energy Minerals,Other Metals/Minerals,82.0,68.0,68.0,49.0,314.10K,728770.0,1619.0,689.0,39.22B,-20.61
541,SANGHVIMOV.NS,364.05,262.29K,Finance,Finance/Rental/Leasing,81.0,91.0,90.0,71.0,510.71K,1358470.0,411.9,223.8,31.52B,-11.62
542,GRAPHITE.NS,727.75,2538.78K,Process Industries,Industrial Specialties,81.0,49.0,58.0,87.0,1937.80K,1905570.0,802.4,505.8,142.18B,-9.3
548,MENONBE.NS,145.17,105.88K,Producer Manufacturing,Metal Fabrication,81.0,90.0,83.0,86.0,121.09K,329610.0,159.9,101.5,8.14B,-9.21
549,ABCAPITAL.NS,363.3,5569.82K,Finance,Multi-Line Insurance,81.0,76.0,58.0,76.0,4770.40K,4595570.0,375.95,218.44,952.42B,-3.36
550,MANINDS.NS,500.5,642.51K,Producer Manufacturing,Industrial Machinery,81.0,29.0,77.0,78.0,877.85K,1452090.0,606.4,302.05,37.54B,-17.46
553,JAYBARMARU.NS,112.03,420.80K,Distribution Services,Wholesale Distributors,81.0,91.0,63.0,84.0,906.32K,4028980.0,124.1,71.01,12.13B,-9.73
556,BOROSCI.NS,150.01,122.27K,Process Industries,Containers/Packaging,81.0,94.0,89.0,80.0,150.68K,425630.0,190.79,96.64,13.34B,-21.37
558,GPIL.NS,288.05,3802.03K,Non-Energy Minerals,Steel,81.0,29.0,67.0,78.0,3714.38K,8066580.0,320.0,175.37,187.30B,-9.98
560,CARYSIL.NS,1077.55,100.30K,Consumer Durables,Home Furnishings,81.0,88.0,74.0,70.0,129.50K,323310.0,1143.85,732.1,30.65B,-5.8
566,JSWENERGY.NS,595.05,11037.75K,Utilities,Electric Utilities,81.0,63.0,81.0,81.0,4329.60K,4307560.0,617.35,427.75,1090.32B,-3.61
567,LENSKART.NS,523.85,3940.56K,Health Technology,Medical Specialties,81.0,43.0,62.0,84.0,4956.91K,10537320.0,557.65,356.1,905.81B,-6.06
573,BLSE.NS,221.96,508.02K,Technology Services,Internet Software/Services,80.0,90.0,91.0,66.0,580.35K,358970.0,232.5,124.3,20.12B,-4.53
576,AZAD.NS,2016.7,420.16K,Producer Manufacturing,Metal Fabrication,80.0,19.0,78.0,84.0,440.77K,431330.0,2350.0,1360.0,130.24B,-14.18
577,FEDERALBNK.NS,288.95,239164.76K,Finance,Major Banks,80.0,51.0,42.0,82.0,8742.36K,7325770.0,302.0,185.11,712.07B,-4.32
582,SONACOMS.NS,607.45,1914.10K,Producer Manufacturing,Auto Parts: Oem,80.0,59.0,73.0,83.0,2407.09K,1444170.0,621.8,402.3,377.85B,-2.31
587,MANAPPURAM.NS,325.4,2699.53K,Finance,Finance/Rental/Leasing,80.0,82.0,60.0,81.0,4831.09K,4280820.0,334.0,231.1,305.66B,-2.57
591,SOUTHBANK.NS,41.42,17664.55K,Finance,Major Banks,80.0,70.0,53.0,64.0,15970.62K,13438180.0,46.84,28.11,108.42B,-11.57
592,RICOAUTO.NS,119.06,2471.99K,Producer Manufacturing,Auto Parts: Oem,80.0,67.0,33.0,67.0,1656.60K,1150820.0,142.4,65.73,16.11B,-16.39
593,NEPHROPLUS.NS,598.7,150.24K,Health Services,Medical/Nursing Services,80.0,82.0,62.0,,145.53K,382410.0,663.9,446.0,60.07B,-9.82
599,ANDHRSUGAR.NS,89.43,465.08K,Process Industries,Chemicals: Specialty,80.0,17.0,84.0,78.0,500.10K,361240.0,107.23,66.5,12.12B,-16.6
600,FRACTAL.NS,1002.4,1420.86K,Technology Services,Packaged Software,80.0,63.0,77.0,,752.70K,644970.0,1118.0,733.7,172.38B,-10.34
604,PARAS.NS,819.35,1226.63K,Electronic Technology,Aerospace & Defense,79.0,60.0,86.0,79.0,2529.66K,1917190.0,942.0,580.5,66.03B,-13.02
607,TFCILTD.NS,73.05,10230.84K,Finance,Finance/Rental/Leasing,79.0,56.0,46.0,78.0,5651.00K,6130490.0,84.61,39.15,33.82B,-13.66
614,SIEMENS.NS,3844.0,2024.28K,Producer Manufacturing,Electrical Products,79.0,56.0,80.0,83.0,499.51K,590300.0,3937.3,2826.0,1368.93B,-2.37
616,PNBHOUSING.NS,1030.5,2065.13K,Finance,Finance/Rental/Leasing,79.0,48.0,82.0,79.0,1477.85K,827050.0,1141.9,729.6,268.54B,-9.76
618,ADFFOODS.NS,264.65,245.66K,Consumer Non-Durables,Food: Specialty/Candy,79.0,52.0,77.0,85.0,364.77K,386230.0,301.65,153.1,29.08B,-12.27
624,GRMOVER.NS,160.03,5335.57K,Process Industries,Agricultural Commodities/Milling,79.0,42.0,43.0,57.0,2185.99K,3930260.0,185.45,93.03,33.21B,-13.71
625,NMDC.NS,87.99,50706.19K,Non-Energy Minerals,Other Metals/Minerals,79.0,39.0,67.0,82.0,24046.72K,19410940.0,94.25,66.8,773.59B,-6.64
626,GOODLUCK.NS,1295.4,249.75K,Non-Energy Minerals,Steel,79.0,67.0,63.0,75.0,157.40K,307190.0,1475.0,915.0,43.06B,-12.18
627,SHRIRAMFIN.NS,947.15,11247.83K,Finance,Finance/Rental/Leasing,79.0,51.0,18.0,81.0,8006.82K,5340530.0,1108.0,566.5,2228.48B,-14.52
636,GCSL.NS,406.55,242.01K,Finance,Investment Banks/Brokers,78.0,86.0,70.0,74.0,208.49K,597010.0,416.9,213.15,9.20B,-2.48
640,YATHARTH.NS,796.5,743.32K,Health Services,Hospital/Nursing Management,78.0,62.0,68.0,68.0,480.03K,561530.0,889.9,485.0,76.75B,-10.5
642,ASTERDM.NS,728.35,513.39K,Health Services,Hospital/Nursing Management,78.0,65.0,76.0,76.0,949.39K,494450.0,776.55,519.1,376.51B,-6.21
643,V2RETAIL.NS,230.03,4385.04K,Retail Trade,Apparel/Footwear Retail,78.0,85.0,76.0,62.0,1259.65K,1250100.0,256.41,158.56,83.88B,-10.29
644,MIDHANI.NS,420.65,4270.86K,Non-Energy Minerals,Other Metals/Minerals,78.0,75.0,81.0,83.0,1030.76K,978540.0,469.0,266.65,78.80B,-10.31
645,GHCLTEXTIL.NS,95.81,478.08K,Process Industries,Textiles,78.0,82.0,78.0,86.0,444.31K,704760.0,103.37,65.26,9.16B,-7.31
650,DEEPAKFERT.NS,1410.1,828.72K,Process Industries,Chemicals: Agricultural,78.0,87.0,92.0,58.0,646.30K,604510.0,1778.6,866.4,178.19B,-20.72
652,PREMIERENE.NS,1061.0,4186.85K,Electronic Technology,Semiconductors,78.0,62.0,91.0,72.0,2335.29K,3266920.0,1136.4,660.0,478.83B,-6.63
654,KARURVYSYA.NS,288.75,2005.93K,Finance,Regional Banks,78.0,47.0,18.0,79.0,3543.45K,1887830.0,343.45,181.95,279.11B,-15.93
655,TORNTPHARM.NS,4410.8,3002.06K,Health Technology,Pharmaceuticals: Major,78.0,72.0,55.0,82.0,366.42K,370510.0,4712.9,3102.0,1492.82B,-6.41
659,NUVAMA.NS,1554.6,665.47K,Finance,Investment Managers,78.0,85.0,81.0,71.0,542.07K,475400.0,1701.7,1096.9,283.33B,-8.64
660,METROPOLIS.NS,555.35,460.53K,Health Services,Medical/Nursing Services,78.0,87.0,80.0,80.0,498.66K,532020.0,600.0,411.25,115.14B,-7.44
663,LTF.NS,286.6,10140.34K,Finance,Finance/Rental/Leasing,78.0,55.0,35.0,56.0,5350.09K,4627760.0,329.45,169.25,718.06B,-13.01
664,TATASTEEL.NS,208.02,67433.23K,Non-Energy Minerals,Steel,78.0,39.0,45.0,83.0,32365.70K,35766730.0,224.4,149.8,2594.39B,-7.3
666,ZYDUSLIFE.NS,1077.7,4587.72K,Health Technology,Pharmaceuticals: Major,78.0,89.0,80.0,81.0,1223.77K,3690430.0,1115.5,835.5,1084.42B,-3.39
669,MOSCHIP.NS,219.91,9034.34K,Electronic Technology,Semiconductors,77.0,71.0,74.0,59.0,2576.56K,2319100.0,288.45,146.8,42.67B,-23.76
672,AUBANK.NS,984.7,5062.12K,Finance,Regional Banks,77.0,37.0,33.0,72.0,2329.22K,1484820.0,1079.55,682.15,736.91B,-8.79
673,VERANDA.NS,234.89,329.35K,Commercial Services,Miscellaneous Commercial Services,77.0,93.0,84.0,73.0,512.08K,437620.0,272.5,130.02,22.62B,-13.8
678,NORTHARC.NS,281.6,545.35K,Finance,Finance/Rental/Leasing,77.0,77.0,71.0,76.0,685.15K,698050.0,321.7,195.3,45.50B,-12.47
684,NATCOPHARM.NS,1015.9,3933.75K,Health Technology,Pharmaceuticals: Major,77.0,23.0,73.0,84.0,856.58K,422760.0,1226.8,789.0,181.96B,-17.19
685,TATACOMM.NS,1965.0,1178.38K,Communications,Major Telecommunications,77.0,92.0,77.0,70.0,583.12K,1419690.0,2049.9,1322.5,560.02B,-4.14
687,BIOCON.NS,428.65,6227.89K,Health Technology,Pharmaceuticals: Major,77.0,89.0,70.0,69.0,4275.25K,4660970.0,440.4,327.6,694.13B,-2.67
