Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,%_From_52WKH
127,DSSL.NS,1745.9,291.07K,Technology Services,Information Technology Services,95.0,98.0,97.0,96.0,146.13K,326730.0,1924.8,781.0,22.24B,-9.29
130,NATIONALUM.NS,424.45,107730.53K,Non-Energy Minerals,Aluminum,94.0,36.0,84.0,95.0,13074.12K,7791990.0,445.15,176.34,779.56B,-4.65
131,SANSERA.NS,2861.0,234.84K,Producer Manufacturing,Auto Parts: Oem,94.0,82.0,85.0,96.0,283.12K,571190.0,2992.2,1216.3,178.33B,-4.38
132,SBC.NS,39.32,15111.63K,Distribution Services,Wholesale Distributors,94.0,89.0,83.0,94.0,12093.74K,15979540.0,40.45,14.21,18.72B,-2.79
133,KIRLOSENG.NS,1928.0,1104.48K,Producer Manufacturing,Electrical Products,94.0,83.0,90.0,95.0,437.39K,540730.0,1943.7,825.6,280.29B,-0.81
140,SHADOWFAX.NS,192.99,1581.56K,Technology Services,Packaged Software,94.0,92.0,96.0,,2505.72K,6659150.0,211.77,98.55,112.85B,-8.87
144,CONFIPET.NS,67.77,5410.46K,Retail Trade,Specialty Stores,94.0,87.0,98.0,95.0,5118.08K,3378620.0,70.15,28.06,22.52B,-3.39
145,WELCORP.NS,1376.9,1914.28K,Producer Manufacturing,Industrial Machinery,94.0,84.0,96.0,94.0,879.59K,958130.0,1394.8,710.0,363.09B,-1.28
159,BHEL.NS,416.75,18787.02K,Producer Manufacturing,Electrical Products,94.0,89.0,96.0,92.0,17287.89K,11869600.0,424.9,205.12,1451.15B,-1.92
160,JAYNECOIND.NS,102.34,3613.41K,Non-Energy Minerals,Steel,93.0,24.0,87.0,90.0,6437.73K,4926480.0,117.0,34.9,99.37B,-12.53
162,FCL.NS,39.99,28491.59K,Process Industries,Industrial Specialties,93.0,98.0,95.0,95.0,16989.78K,76430730.0,41.25,19.1,46.57B,-3.05
164,AVALON.NS,1520.5,377.68K,Electronic Technology,Electronic Production Equipment,93.0,97.0,94.0,94.0,458.43K,957160.0,1558.6,777.3,101.55B,-2.44
166,ADANIENSOL.NS,1513.3,3350.29K,Utilities,Electric Utilities,93.0,71.0,95.0,93.0,3176.51K,3859010.0,1578.5,744.9,1817.90B,-4.13
172,MCX.NS,2954.5,17638.51K,Finance,Investment Banks/Brokers,93.0,61.0,84.0,93.0,3408.67K,2861160.0,3480.0,1312.2,751.96B,-15.1
175,SENORES.NS,1120.65,253.20K,Health Technology,Pharmaceuticals: Major,93.0,92.0,91.0,91.0,370.26K,1007240.0,1194.4,510.25,51.61B,-6.17
178,UNIVCABLES.NS,1136.05,372.98K,Electronic Technology,Electronic Components,93.0,95.0,96.0,85.0,226.96K,425770.0,1239.0,576.0,39.42B,-8.31
180,BSE.NS,4146.1,4542.40K,Finance,Investment Banks/Brokers,93.0,86.0,94.0,92.0,4421.43K,4413830.0,4446.8,2021.5,1683.85B,-6.76
182,HIRECT.NS,1113.95,570.01K,Producer Manufacturing,Electrical Products,93.0,91.0,96.0,92.0,224.32K,474540.0,1212.1,565.2,38.29B,-8.1
184,PARACABLES.NS,65.87,4262.72K,Producer Manufacturing,Electrical Products,93.0,98.0,97.0,95.0,2945.88K,5320970.0,70.95,28.3,20.10B,-7.16
185,LAURUSLABS.NS,1362.0,1775.55K,Health Technology,Pharmaceuticals: Major,93.0,93.0,89.0,90.0,2032.44K,1896950.0,1393.4,606.2,735.46B,-2.25
186,SUVEN.NS,279.34,2296.94K,Health Technology,Pharmaceuticals: Major,93.0,94.0,97.0,94.0,1223.98K,4387670.0,299.99,124.11,73.67B,-6.88
193,PAISALO.NS,51.58,25607.98K,Finance,Finance/Rental/Leasing,92.0,78.0,94.0,93.0,10703.43K,11145020.0,52.4,29.38,46.91B,-1.56
196,SOUTHWEST.NS,259.86,273.44K,Energy Minerals,Coal,92.0,79.0,92.0,89.0,383.58K,599050.0,273.24,121.0,7.75B,-4.9
202,IOLCP.NS,128.98,2821.85K,Process Industries,Chemicals: Specialty,92.0,97.0,96.0,91.0,3436.69K,8571270.0,138.9,67.19,37.86B,-7.14
203,SGMART.NS,590.2,255.97K,Utilities,Electric Utilities,92.0,76.0,89.0,95.0,376.18K,308810.0,638.1,313.1,74.37B,-7.51
204,CMPDI.NS,237.63,3434.54K,Commercial Services,Miscellaneous Commercial Services,92.0,93.0,,,6481.23K,5844220.0,263.65,150.16,,-9.87
206,UTLSOLAR.NS,319.95,1183.65K,Electronic Technology,Semiconductors,92.0,69.0,95.0,,604.26K,466420.0,328.4,172.0,98.19B,-2.57
208,SPARC.NS,212.11,5028.11K,Health Technology,Pharmaceuticals: Major,92.0,97.0,96.0,95.0,5852.10K,20167680.0,248.75,108.0,68.83B,-14.73
209,DIACABS.NS,194.31,5170.48K,Producer Manufacturing,Electrical Products,92.0,90.0,93.0,87.0,4111.84K,10394740.0,211.2,97.7,102.40B,-8.0
211,RRKABEL.NS,2056.3,1681.96K,Producer Manufacturing,Electrical Products,92.0,94.0,92.0,93.0,517.18K,581060.0,2117.0,1165.0,232.58B,-2.87
