Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ATR_%,ADR,ADR_%,AvgVol,AvgVol10,52WKH,52WKL,%_From_52WKH,%_Below_52WKH,%_Above_52WKL,52W_Range_Pos,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,Above_SMA50,Above_SMA200,SMA50_Above_SMA200,Above_SMA10W,Above_SMA30W,SMA10W_Above_SMA30W
24,STLTECH.NS,597.65,947420.0,Technology Services,Information Technology Services,98.0,96.0,98.0,98.0,34.4929,5.77,25.8929,4.33,5890060.0,4598090.0,679.9,84.6,-12.1,12.1,606.44,86.18,291780000000.0,No,404.61,195.22,439.9,238.39,True,True,True,True,True,True
47,SIGMAADV.NS,449.0,142510.0,Technology Services,Information Technology Services,97.0,97.0,98.0,96.0,27.4464,6.11,25.1607,5.6,418940.0,515289.99999999994,503.9,81.61,-10.9,10.9,450.18,87.0,79130000000.0,No,317.32,210.01,350.91,236.63,True,True,True,True,True,True
61,GVPIL.NS,1024.8,368980.0,Industrial Services,Engineering & Construction,97.0,96.0,97.0,97.0,48.2607,4.71,41.7786,4.08,288730.0,548850.0,1024.8,270.9,0.0,-0.0,278.29,100.0,68890000000.0,No,683.84,437.29,741.32,498.63,True,True,True,True,True,True
43,MTARTECH.NS,7737.5,1853730.0,Electronic Technology,Aerospace & Defense,97.0,52.0,97.0,97.0,553.7857,7.16,505.2143,6.53,1401390.0,2186780.0,8449.5,1390.5,-8.43,8.43,456.45,89.91,237770000000.0,No,6411.41,3555.87,6847.41,4329.25,True,True,True,True,True,True
67,BLISSGVS.NS,437.2,309010.0,Health Technology,Pharmaceuticals: Major,97.0,97.0,96.0,97.0,23.1679,5.3,23.15,5.3,2511150.0,1501920.0,462.8,118.0,-5.53,5.53,270.51,92.58,46410000000.0,No,320.7,210.49,339.18,241.23,True,True,True,True,True,True
36,CUPID.NS,164.59,22310120.0,Consumer Non-Durables,Household/Personal Care,97.0,94.0,95.0,96.0,5.6636,3.44,5.2021,3.16,17376660.0,20711470.0,165.0,17.68,-0.25,0.25,830.94,99.72,221240000000.0,No,122.39,81.84,129.99,98.69,True,True,True,True,True,True
69,UFBL.NS,602.65,164450.0,Consumer Services,Restaurants,96.0,98.0,98.0,97.0,37.0107,6.14,35.2036,5.84,407470.0,324010.0,626.9,172.34,-3.87,3.87,249.69,94.67,23510000000.0,No,398.65,263.11,438.3,288.84,True,True,True,True,True,True
72,HFCL.NS,182.98,21374080.0,Electronic Technology,Telecommunications Equipment,96.0,90.0,98.0,97.0,10.38,5.67,8.5214,4.66,55783730.0,40899320.0,208.98,59.82,-12.44,12.44,205.88,82.57,279920000000.0,No,137.83,87.51,147.47,95.22,True,True,True,True,True,True
86,OMNI.NS,481.55,115110.0,Producer Manufacturing,Metal Fabrication,96.0,84.0,98.0,,35.9964,7.48,34.7964,7.23,998620.0,531950.0,548.0,176.25,-12.13,12.13,173.22,82.13,59550000000.0,No,417.87,,436.86,,True,False,False,True,False,False
76,KSHINTL.NS,894.0,392010.0,Producer Manufacturing,Electrical Products,96.0,95.0,97.0,,53.3464,5.97,49.6893,5.56,540110.0,534960.0,903.0,330.0,-1.0,1.0,170.91,98.43,60600000000.0,No,679.62,,718.77,,True,False,False,True,False,False
77,CPPLUS.NS,3384.0,103150.0,Consumer Durables,Electronics/Appliances,96.0,94.0,97.0,96.0,192.4428,5.69,168.7357,4.99,431410.0,455190.0,3714.4,1015.0,-8.9,8.9,233.4,87.76,398810000000.0,No,2592.21,1768.49,2741.3,1964.21,True,True,True,True,True,True
79,AEROFLEX.NS,467.3,1567020.0,Producer Manufacturing,Industrial Machinery,96.0,93.0,97.0,97.0,29.9964,6.42,28.5179,6.1,3218990.0,2474180.0,491.9,158.0,-5.0,5.0,195.76,92.63,61840000000.0,No,360.13,234.03,383.93,265.59,True,True,True,True,True,True
82,BAJAJCON.NS,597.0,303610.0,Consumer Non-Durables,Household/Personal Care,96.0,84.0,93.0,96.0,24.5893,4.12,24.0071,4.02,1425530.0,810610.0,620.85,168.25,-3.84,3.84,254.83,94.73,78030000000.0,No,510.08,346.89,531.78,394.32,True,True,True,True,True,True
122,APOLLO.NS,429.05,14924230.0,Electronic Technology,Electronic Production Equipment,95.0,96.0,96.0,93.0,23.6357,5.51,23.1571,5.4,21751060.0,28123520.0,446.9,162.34,-3.99,3.99,164.29,93.73,154750000000.0,No,332.3,279.53,350.76,273.62,True,True,True,True,True,True
121,SHADOWFAX.NS,215.46,1015990.0,Technology Services,Packaged Software,95.0,94.0,96.0,,10.6293,4.93,10.0636,4.67,2754590.0,2546230.0,230.0,98.55,-6.32,6.32,118.63,88.94,126040000000.0,No,175.53,,184.46,,True,False,False,True,False,False
114,BBOX.NS,1009.0,140190.0,Technology Services,Information Technology Services,95.0,88.0,96.0,95.0,51.7893,5.13,51.075,5.06,1113720.0,782890.0,1103.0,435.05,-8.52,8.52,131.93,85.93,179200000000.0,No,793.42,587.34,845.33,625.37,True,True,True,True,True,True
132,IDEAFORGE.NS,862.0,98010.0,Electronic Technology,Aerospace & Defense,95.0,62.0,96.0,95.0,53.1429,6.17,47.1393,5.47,1776790.0,417460.0,992.25,366.0,-13.13,13.13,135.52,79.2,37400000000.0,No,712.53,522.15,754.63,539.72,True,True,True,True,True,True
129,AVALON.NS,1737.8,120270.0,Electronic Technology,Electronic Production Equipment,95.0,95.0,95.0,95.0,90.2643,5.19,89.6714,5.16,507330.0,436040.0,1788.0,777.3,-2.81,2.81,123.57,95.03,115990000000.0,No,1309.72,1059.12,1394.08,1087.31,True,True,True,True,True,True
