Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
99,SETL.NS,402.8,407.0,589.73K,Health Technology,Medical Specialties,96.0,94.0,96.0,98.0,19.9893,15.5964,1278.10K,1040.97K,468.15,104.56,80.36B,No,409.39,339.08,198.11,347.14,223.96,425
103,NOVARTIND.NS,1971.4,2027.4,30.26K,Health Technology,Pharmaceuticals: Major,96.0,95.0,88.0,,183.5,173.95,102.84K,377.45K,2588.8,672.25,48.68B,No,1931.63,1722.56,,1733.18,,116
104,PVP.NS,65.2,68.61,4026.69K,Technology Services,Information Technology Services,96.0,95.0,98.0,95.0,3.905,3.6064,1937.09K,955.90K,72.04,23.0,16.98B,No,64.04,46.72,34.21,49.21,35.55,500
105,BAFNAPH.NS,343.2,336.5,0.74K,Health Technology,Pharmaceuticals: Major,96.0,95.0,97.0,96.0,6.3036,1.925,19.06K,6.53K,343.2,94.77,8.12B,No,309.45,276.8,174.64,283.5,194.2,498
107,CYIENTDLM.NS,912.7,963.5,311.19K,Electronic Technology,Electronic Production Equipment,96.0,92.0,97.0,97.0,54.7,54.325,926.48K,561.14K,1009.0,265.2,72.44B,No,893.85,774.11,488.79,787.77,530.9,501
108,E2E.NS,646.7,635.15,1059.86K,Technology Services,Information Technology Services,96.0,75.0,93.0,96.0,28.1929,26.9679,1364.08K,635.87K,698.0,183.36,132.87B,No,610.45,584.92,361.53,598.03,415.94,501
109,MENONBE.NS,293.25,301.25,41.44K,Producer Manufacturing,Metal Fabrication,96.0,85.0,96.0,95.0,19.6964,19.0321,90.48K,57.62K,330.0,101.5,16.43B,No,301.3,262.39,164.0,267.97,183.35,500
111,SPECTRUM.NS,3356.3,3241.6001,17.68K,Electronic Technology,Electronic Equipment/Instruments,96.0,97.0,97.0,94.0,178.5286,155.1143,40.31K,17.36K,3398.9,1050.0,57.35B,No,2769.5,2479.66,1664.84,2534.77,1852.47,499
112,CALSOFT.NS,38.02,40.02,139.80K,Technology Services,Information Technology Services,96.0,94.0,94.0,97.0,2.3757,1.8636,215.11K,269.41K,43.13,10.9,2.35B,No,38.6,29.94,20.06,31.0,22.25,500
113,DIACABS.NS,360.45,377.85,744.18K,Producer Manufacturing,Electrical Products,95.0,65.0,96.0,96.0,17.7714,16.9964,4386.01K,1015.84K,404.0,115.57,215.57B,No,356.32,339.93,204.54,348.53,231.99,501
116,HFCL.NS,210.69,217.37,4150.91K,Electronic Technology,Telecommunications Equipment,95.0,10.0,59.0,97.0,10.3214,8.9257,19509.80K,6349.72K,256.7,59.82,322.41B,No,228.94,220.15,139.41,219.29,166.34,501
119,STLNETWORK.NS,52.01,49.7,27089.93K,Communications,Major Telecommunications,95.0,98.0,97.0,96.0,2.1864,1.6429,2115.02K,7661.54K,52.18,15.75,25.40B,No,36.22,29.55,25.1,31.4,26.87,266
120,SWANDEF.NS,2716.6,2776.2,15.11K,Producer Manufacturing,Trucks/Construction/Farm Machinery,95.0,88.0,84.0,63.0,117.7571,117.7571,22.38K,22.93K,2804.9,577.1,143.12B,No,2591.61,2491.96,2012.45,2552.99,2182.5,498
121,KANORICHEM.NS,191.33,182.24,100.47K,Process Industries,Chemicals: Specialty,95.0,92.0,93.0,97.0,10.2536,9.3014,50.65K,84.53K,191.45,56.0,8.36B,No,169.91,159.41,103.85,161.99,116.23,501
123,BIRLACABLE.NS,345.2,361.9,369.47K,Producer Manufacturing,Electrical Products,95.0,94.0,95.0,96.0,25.8036,24.2429,220.23K,661.66K,418.8,104.0,10.36B,No,363.2,290.07,189.2,303.91,212.35,500
127,SANSERA.NS,4605.6,4621.3999,268.64K,Producer Manufacturing,Auto Parts: Oem,95.0,90.0,92.0,93.0,183.4,172.1357,256.29K,324.55K,4743.5,1364.2,287.47B,No,4091.35,3800.05,2711.05,3883.39,3052.13,501
128,MANINDS.NS,962.85,986.7,1415.72K,Producer Manufacturing,Industrial Machinery,95.0,95.0,95.0,95.0,61.1893,59.8821,1071.09K,3424.22K,1005.0,302.05,72.22B,No,829.26,684.45,515.15,716.68,572.69,501
