Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO
1990,INGERRAND.NS,3381.7,5.57K,Producer Manufacturing,Trucks/Construction/Farm Machinery,36.0,8.0,28.0,43.0,10.04K,7.94K,4477.8,3055.0,106.75B,No
1991,KPRMILL.NS,940.8,116.22K,Consumer Non-Durables,Apparel/Footwear,36.0,7.0,30.0,30.0,261.22K,169.81K,1389.0,755.5,321.58B,No
1992,RADIANTCMS.NS,52.64,95.13K,Commercial Services,Miscellaneous Commercial Services,36.0,61.0,60.0,29.0,106.36K,103.37K,77.39,49.38,5.62B,No
1993,JYOTIRES.BO,1122.8,4.79K,Process Industries,Industrial Specialties,36.0,34.0,39.0,28.0,9.28K,8.75K,1570.0,1010.6,13.47B,No
1994,ENRIN.NS,2595.5,573.12K,Producer Manufacturing,Electrical Products,36.0,4.0,6.0,62.0,906.80K,1444.56K,3625.0,2508.8,924.31B,No
1995,BRGIL.BO,120.0,5.00K,Industrial Services,Engineering & Construction,36.0,9.0,12.0,52.0,11.05K,5.60K,177.0,95.0,2.86B,No
1996,PURSHOTTAM.BO,37.22,0.01K,Finance,Investment Banks/Brokers,36.0,42.0,40.0,25.0,10.47K,3.07K,48.0,35.14,276.30M,No
1997,TAMBOLIIN.BO,143.9,2.42K,Finance,Investment Banks/Brokers,36.0,19.0,42.0,32.0,3.59K,2.73K,215.0,127.0,1.43B,No
1998,NIBE.NS,1137.4,44.33K,Process Industries,Textiles,36.0,83.0,27.0,6.0,51.57K,46.32K,2001.0,761.5,16.49B,No
1999,ULTRAMAR.BO,423.7,29.49K,Process Industries,Chemicals: Specialty,36.0,23.0,45.0,30.0,31.72K,36.34K,613.95,399.0,12.37B,No
2000,HAZOOR.BO,37.28,513.93K,Finance,Real Estate Development,36.0,85.0,49.0,51.0,700.80K,774.02K,57.8,26.8,9.38B,No
2001,DEN.NS,31.68,217.22K,Consumer Services,Cable/Satellite Tv,36.0,73.0,47.0,29.0,363.64K,346.98K,45.1,28.14,15.10B,No
2002,JSWENERGY.NS,484.35,1821.74K,Utilities,Electric Utilities,36.0,67.0,45.0,55.0,2731.46K,2603.11K,674.0,418.75,845.92B,No
2003,WIMPLAST.BO,448.0,5.01K,Consumer Durables,Home Furnishings,36.0,19.0,39.0,48.0,4.60K,3.29K,624.0,445.0,5.38B,No
2004,IRISDOREME.NS,36.92,522.17K,Consumer Non-Durables,Apparel/Footwear,36.0,87.0,87.0,2.0,399.34K,774.50K,66.53,29.9,6.30B,No
2005,ARTEFACT.BO,61.7,12.66K,Industrial Services,Engineering & Construction,36.0,63.0,36.0,29.0,5.65K,4.47K,89.74,52.0,448.87M,No
