Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days
28,SPICEISLIN.BO,492.6,492.9,4.03K,Process Industries,Textiles,98.0,46.0,89.0,95.0,23.3964,23.375,18.23K,6.73K,549.0,70.55,3.07B,No,500.23,488.48,288.25,493.84,363.5,495
30,SHENTRA.BO,130.9,133.55,0.11K,Process Industries,Chemicals: Specialty,98.0,87.0,95.0,97.0,2.2893,1.0786,0.10K,0.10K,134.85,16.65,580.95M,No,126.71,110.42,65.54,116.96,82.37,213
31,HIKLASS.BO,87.5,87.38,1.57K,Finance,Investment Banks/Brokers,98.0,90.0,12.0,97.0,0.9579,0.515,0.72K,0.21K,108.35,11.04,2.64B,No,79.42,78.86,53.04,78.84,68.96,495
32,SHANTAI.BO,93.19,92.27,51.18K,Process Industries,Textiles,98.0,47.0,45.0,98.0,0.3271,0.2614,5.29K,9.27K,102.01,11.15,698.92M,No,92.28,94.73,54.28,94.27,72.35,496
34,APPL.BO,274.25,279.8,18.40K,Distribution Services,Medical Distributors,98.0,92.0,94.0,97.0,10.9893,9.275,17.18K,16.64K,310.25,32.32,4.70B,No,263.88,240.2,140.44,245.71,175.66,215
35,RAMGOPOLY.BO,35.28,33.6,7.62K,Producer Manufacturing,Miscellaneous Manufacturing,98.0,98.0,93.0,92.0,1.3443,0.2929,5.08K,6.74K,35.28,5.12,511.56M,No,23.13,18.93,17.29,21.3,20.49,494
37,SIMANDHAR.BO,157.5,150.0,4.03K,Distribution Services,Wholesale Distributors,98.0,93.0,61.0,78.0,15.1036,11.225,1.93K,3.41K,189.1,21.5,481.47M,No,148.06,147.52,,146.09,135.63,156
38,MAXGROW.BO,79.94,84.14,54.14K,Commercial Services,Personnel Services,97.0,90.0,89.0,76.0,2.5829,1.6207,22.70K,29.66K,93.97,10.02,3.19B,No,80.75,63.1,50.44,68.12,58.5,495
39,SANCODE.BO,474.8,467.6,9.00K,Technology Services,Information Technology Services,97.0,96.0,97.0,98.0,6.65,0.7214,2.59K,0.40K,476.95,82.62,3.54B,No,410.99,331.57,231.84,361.19,268.03,494
40,GLITTEKG.BO,70.46,69.08,8.97K,Non-Energy Minerals,Construction Materials,97.0,97.0,93.0,95.0,1.315,0.19,16.13K,13.08K,80.2,7.91,1.83B,No,59.27,49.32,36.59,53.05,48.63,494
41,VINRKLB.BO,30.68,29.22,0.04K,Health Technology,Pharmaceuticals: Major,97.0,8.0,11.0,93.0,0.7186,0.2086,1.46K,0.65K,46.65,4.5,184.94M,No,27.69,33.48,23.71,31.99,32.47,496
42,TRANSCHEM.BO,305.45,311.2,1.80K,Health Technology,Pharmaceuticals: Other,97.0,20.0,94.0,92.0,16.5714,15.8964,6.68K,10.93K,377.65,38.31,3.74B,No,332.38,320.3,192.72,322.09,225.38,495
43,EMROCK.BO,266.0,266.95,0.32K,Consumer Durables,Homebuilding,97.0,38.0,29.0,50.0,11.2429,11.2429,2.63K,2.45K,305.95,25.39,4.21B,No,253.09,266.88,227.33,262.53,268.48,494
44,NEELKAN.BO,60.0,57.15,3.07K,Non-Energy Minerals,Construction Materials,97.0,96.0,98.0,98.0,2.2793,1.4371,5.51K,6.21K,60.19,13.0,302.62M,No,47.46,40.62,23.74,45.51,27.71,494
45,PARMAX.BO,108.85,106.75,0.64K,Health Technology,Pharmaceuticals: Major,97.0,90.0,98.0,97.0,2.8321,1.3393,13.94K,38.48K,111.27,22.6,407.24M,No,103.11,81.79,44.73,90.44,51.65,494
46,CDG.BO,293.95,280.0,8.54K,Process Industries,Industrial Specialties,97.0,70.0,91.0,95.0,17.075,16.6,3.31K,2.71K,315.0,55.23,2.71B,No,288.61,258.33,157.12,270.46,191.82,494
47,INDUSFINL.BO,188.0,188.85,7.12K,Finance,Investment Banks/Brokers,97.0,90.0,97.0,98.0,12.4357,12.375,9.38K,12.05K,189.45,38.94,1.74B,No,158.65,141.51,79.52,150.28,96.4,494
49,FILTRON.BO,76.2,74.71,0.56K,Producer Manufacturing,Industrial Machinery,97.0,61.0,13.0,7.0,1.5293,0.2943,0.37K,1.35K,106.41,7.35,4.84B,No,67.09,78.0,83.39,76.01,89.85,496
50,PHCAP.BO,991.2,992.05,2.13K,Finance,Investment Banks/Brokers,97.0,61.0,88.0,91.0,24.6,24.0536,2.64K,2.10K,1035.0,165.05,2.97B,No,1004.08,964.04,598.72,984.49,760.37,494
52,ARTEMISADR.BO,101.55,101.55,6.00K,Distribution Services,Food Distributors,97.0,60.0,98.0,97.0,0.0,0.0,14.29K,0.60K,101.55,21.04,608.58M,No,101.35,84.54,51.21,86.44,55.97,495
53,AMRAFIN.BO,36.75,37.5,1.20K,Finance,Finance/Rental/Leasing,97.0,93.0,98.0,97.0,0.54,0.1043,0.74K,2.16K,37.5,12.72,493.92M,No,33.22,28.88,17.01,30.76,19.4,497
54,PHOTON.BO,337.9,334.6,0.39K,Finance,Investment Managers,97.0,95.0,98.0,97.0,0.7036,0.0,0.07K,0.04K,337.9,90.0,919.32M,No,324.36,228.4,143.27,256.38,168.71,495
55,VIVAA.BO,106.95,104.9,10.00K,Consumer Non-Durables,Apparel/Footwear,97.0,90.0,98.0,97.0,1.2829,0.5807,12.86K,9.80K,106.95,31.84,421.12M,No,100.72,80.36,48.89,86.89,53.46,497
56,INTEGFD.BO,137.0,144.0,0.97K,Process Industries,Agricultural Commodities/Milling,97.0,14.0,80.0,98.0,7.6,7.3607,3.10K,2.42K,158.3,20.71,2.56B,No,145.7,145.35,78.36,145.0,98.9,494
