Rank,Ticker,Price,DVol,Sector,Industry,RS,1M_RS,3M_RS,6M_RS,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,%Dist_52H
89,KOVAI.NS,5803.5,0.87K,Health Services,Hospital/Nursing Management,96.0,75.0,,,149.5357,145.8929,3.98K,4.82K,6052.6,2576.65,63.50B,No,,,5278.34,,-4.12
92,SICAGEN.NS,54.49,6.03K,Distribution Services,Wholesale Distributors,96.0,47.0,,,2.98,2.9514,16.97K,9.94K,61.5,24.35,2.16B,No,,,51.21,,-11.4
104,ATLANTAELE.NS,1885.0,28.26K,Producer Manufacturing,Electrical Products,95.0,65.0,96.0,96.0,109.4072,102.5572,228.10K,71.49K,2152.6,707.6,144.95B,No,1680.79,,1771.78,1224.55,-12.43
106,MODISONLTD.NS,290.0,70.75K,Industrial Services,Engineering & Construction,95.0,98.0,97.0,95.0,17.3314,13.1993,201.27K,196.94K,362.7,114.0,9.41B,No,206.31,162.37,219.98,167.42,-20.04
107,SAYAJIHOTL.NS,289.0,0.10K,Consumer Services,Hotels/Resorts/Cruise Lines,95.0,55.0,,,14.65,9.525,0.09K,0.07K,323.95,138.7,,No,,,269.4,,-10.79
111,SAKAR.NS,830.1,124.27K,Health Technology,Pharmaceuticals: Major,95.0,95.0,92.0,96.0,49.0893,46.7964,182.33K,136.75K,889.95,311.0,18.22B,No,690.49,480.89,708.08,539.11,-6.73
114,BBOX.NS,1009.0,140.19K,Technology Services,Information Technology Services,95.0,88.0,96.0,95.0,51.7893,51.075,1113.72K,782.89K,1103.0,435.05,179.20B,No,793.42,587.34,845.33,625.37,-8.52
116,SALSTEEL.NS,60.0,33.53K,Non-Energy Minerals,Steel,95.0,55.0,86.0,94.0,3.5671,3.5457,184.04K,135.73K,65.5,14.37,8.69B,No,56.53,42.06,58.72,47.45,-8.4
118,THANGAMAYL.NS,5500.0,32.14K,Consumer Durables,Other Consumer Specialties,95.0,97.0,89.0,93.0,312.6785,308.3928,177.70K,365.45K,5764.2,1750.1,170.87B,No,4254.66,3333.03,4403.77,3796.71,-4.58
120,RPTECH.NS,646.4,10855.45K,Distribution Services,Electronics Distributors,95.0,92.0,95.0,96.0,28.4607,27.2572,220.47K,163.87K,660.5,275.6,42.63B,No,503.55,381.08,525.58,412.59,-2.13
121,SHADOWFAX.NS,215.46,1015.99K,Technology Services,Packaged Software,95.0,94.0,96.0,,10.6293,10.0636,2754.59K,2546.23K,230.0,98.55,126.04B,No,175.53,,184.46,,-6.32
122,APOLLO.NS,429.05,14924.23K,Electronic Technology,Electronic Production Equipment,95.0,96.0,96.0,93.0,23.6357,23.1571,21751.06K,28123.52K,446.9,162.34,154.75B,No,332.3,279.53,350.76,273.62,-3.99
124,NGLFINE.NS,2998.4,24.20K,Health Technology,Pharmaceuticals: Major,95.0,93.0,76.0,96.0,205.4428,200.5714,16.79K,30.72K,3200.0,980.0,18.50B,No,2480.85,1860.74,2563.55,2072.17,-6.3
125,NOVARTIND.NS,1320.3,8.04K,Health Technology,Pharmaceuticals: Major,95.0,80.0,,,71.4714,69.8143,30.80K,20.45K,1589.2,672.25,32.60B,No,,,1192.28,,-16.92
129,AVALON.NS,1737.8,120.27K,Electronic Technology,Electronic Production Equipment,95.0,95.0,95.0,95.0,90.2643,89.6714,507.33K,436.04K,1788.0,777.3,115.99B,No,1309.72,1059.12,1394.08,1087.31,-2.81
130,WHEELS.NS,1595.6,71.52K,Producer Manufacturing,Auto Parts: Oem,95.0,89.0,94.0,95.0,84.4071,84.4071,234.67K,134.65K,1744.0,705.85,39.00B,No,1343.71,985.37,1411.25,1058.54,-8.51
