Rank,Ticker,Price,DVol,Sector,Industry,RS,1M_RS,3M_RS,6M_RS,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,%Dist_52H
276,UNIPARTS.NS,666.9,52.25K,Producer Manufacturing,Auto Parts: Oem,90.0,91.0,89.0,87.0,23.5786,23.4393,192.78K,207.78K,672.6,335.0,30.08B,No,560.08,487.08,578.15,505.1,-0.85
277,MAYURUNIQ.NS,819.05,167.78K,Process Industries,Textiles,90.0,95.0,93.0,93.0,38.5179,38.2822,281.00K,348.67K,849.15,471.2,35.59B,No,649.31,549.83,675.19,569.15,-3.54
278,NRBBEARING.NS,427.4,186.57K,Producer Manufacturing,Auto Parts: Oem,90.0,91.0,93.0,90.0,21.1786,20.9357,981.35K,2926.20K,455.8,212.55,41.43B,No,333.47,287.62,350.54,292.75,-6.23
280,E2E.NS,383.7,722.60K,Technology Services,Information Technology Services,90.0,87.0,93.0,94.0,23.4764,18.5479,1273.95K,2724.81K,453.8,183.36,78.87B,No,332.67,275.76,348.81,266.91,-15.45
283,SHREEJISPG.NS,479.85,175.59K,Transportation,Other Transportation,90.0,83.0,74.0,88.0,16.9464,16.8714,839.13K,1271.19K,491.9,222.0,78.18B,No,420.02,343.31,434.62,381.91,-2.45
285,BSE.NS,4105.0,1415.76K,Finance,Investment Banks/Brokers,90.0,57.0,89.0,90.0,142.7643,136.9714,4393.14K,4155.36K,4446.8,2021.5,1667.04B,No,3816.23,2922.24,3891.9,3165.64,-7.69
286,SKMEGGPROD.NS,242.4,317.07K,Process Industries,Agricultural Commodities/Milling,90.0,94.0,93.0,78.0,15.9057,15.54,796.96K,1810.42K,257.4,120.0,12.78B,No,191.9,185.51,199.39,187.85,-5.83
287,DATAPATTNS.NS,4487.0,555.80K,Electronic Technology,Electronic Production Equipment,90.0,81.0,80.0,91.0,245.3571,240.8214,1305.65K,1695.52K,4722.0,2131.0,251.31B,No,3959.48,3085.76,4087.36,3273.66,-4.98
288,SGMART.NS,588.15,17.48K,Utilities,Electric Utilities,90.0,36.0,81.0,94.0,22.7643,22.0357,343.51K,147.91K,638.1,313.1,74.13B,No,573.34,,582.48,464.48,-7.83
290,IOLCP.NS,125.98,3189.20K,Process Industries,Chemicals: Specialty,90.0,86.0,95.0,89.0,7.7507,7.5193,3644.58K,2394.65K,139.99,67.19,36.98B,No,108.05,92.18,111.72,88.99,-10.01
291,BLUSPRING.NS,91.54,372.81K,Commercial Services,Miscellaneous Commercial Services,90.0,95.0,96.0,86.0,6.635,6.4071,689.00K,1368.10K,100.88,43.98,13.68B,No,71.71,69.01,75.11,64.93,-9.26
293,RUBYMILLS.NS,320.0,5.99K,Process Industries,Textiles,90.0,96.0,92.0,90.0,20.875,20.6,79.16K,273.12K,361.9,169.02,10.70B,No,255.03,225.54,264.42,227.23,-11.58
295,LAURUSLABS.NS,1367.5,1625.19K,Health Technology,Pharmaceuticals: Major,90.0,64.0,82.0,87.0,36.5286,36.4429,2015.98K,1634.27K,1457.0,641.05,738.20B,No,1253.44,1050.31,1281.58,1116.21,-6.14
296,SANGHVIMOV.NS,408.95,366.45K,Finance,Finance/Rental/Leasing,90.0,94.0,94.0,84.0,18.6143,18.0,528.41K,426.77K,428.1,223.8,35.41B,No,335.5,327.14,346.67,311.25,-4.47
297,SGFIN.NS,584.55,87.94K,Finance,Investment Banks/Brokers,90.0,51.0,88.0,89.0,25.2822,24.2964,391.90K,196.83K,650.0,323.0,38.52B,No,554.28,430.8,570.91,457.63,-10.07
298,MANAKALUCO.NS,40.6,95.37K,Non-Energy Minerals,Other Metals/Minerals,90.0,87.0,90.0,93.0,2.6243,2.5271,142.60K,237.56K,68.12,21.73,2.66B,No,34.53,31.53,35.76,32.58,-40.4
300,BHEL.NS,383.05,2880.51K,Producer Manufacturing,Electrical Products,90.0,18.0,90.0,88.0,13.3071,13.1429,17380.60K,11680.59K,424.9,205.12,1333.28B,No,369.17,285.85,378.41,305.04,-9.85
302,WALCHANNAG.NS,263.0,1131.53K,Producer Manufacturing,Industrial Machinery,89.0,82.0,93.0,93.0,15.64,15.34,2047.44K,2509.33K,276.6,131.15,17.87B,No,230.18,187.88,239.44,191.95,-4.92
304,APEX.NS,419.05,71.39K,Consumer Non-Durables,Food: Meat/Fish/Dairy,89.0,12.0,67.0,91.0,18.4929,17.2393,813.15K,348.19K,514.5,208.74,13.10B,No,445.72,331.1,447.72,370.3,-18.55
305,SJS.NS,2252.3,60.50K,Producer Manufacturing,Auto Parts: Oem,89.0,85.0,82.0,87.0,83.8286,81.6714,128.38K,92.71K,2282.6,1131.3,72.09B,No,1897.74,1697.22,1949.15,1778.5,-1.33
306,HSCL.NS,690.5,9434.73K,Process Industries,Industrial Specialties,89.0,82.0,91.0,90.0,33.4714,33.4714,10117.88K,16820.02K,707.45,418.5,348.39B,No,586.94,492.69,615.16,514.07,-2.4
307,TMB.NS,774.0,67.13K,Finance,Regional Banks,89.0,84.0,70.0,89.0,28.9429,28.175,510.07K,291.57K,794.95,411.8,122.34B,No,703.4,572.78,711.32,628.22,-2.64
308,JAYNECOIND.NS,91.61,1490.42K,Non-Energy Minerals,Steel,89.0,5.0,75.0,85.0,4.2936,4.1186,6705.31K,4818.83K,117.0,34.9,89.01B,No,99.68,80.58,100.52,84.68,-21.7
309,ATALREAL.NS,31.09,2905.12K,Consumer Durables,Homebuilding,89.0,74.0,84.0,85.0,2.08,1.9664,5661.52K,10712.32K,31.85,17.75,3.85B,No,27.63,24.7,28.39,26.1,-2.39
310,HINDCOPPER.NS,509.45,1366.84K,Non-Energy Minerals,Other Metals/Minerals,89.0,4.0,15.0,88.0,16.1143,14.4893,7908.45K,3414.22K,760.05,226.7,492.65B,No,545.6,455.35,541.52,519.18,-32.97
311,SUNFLAG.NS,359.7,78.26K,Non-Energy Minerals,Steel,89.0,31.0,93.0,89.0,22.4607,21.2857,937.57K,638.00K,428.0,192.15,64.82B,No,336.24,273.8,348.2,278.15,-15.96
312,BGRENERGY.NS,335.0,23.33K,Industrial Services,Engineering & Construction,89.0,92.0,27.0,21.0,15.2429,14.125,103.70K,86.52K,490.8,94.0,24.17B,No,308.47,322.57,312.02,324.79,-31.74
313,MCX.NS,2851.2,1245.76K,Finance,Investment Banks/Brokers,89.0,6.0,56.0,89.0,110.6643,110.4929,3684.48K,3390.84K,3480.0,1460.8,725.90B,No,2968.84,2298.65,2982.27,2546.37,-18.07
314,SEAMECLTD.NS,1587.5,16.46K,Industrial Services,Oilfield Services/Equipment,89.0,72.0,70.0,93.0,54.9714,54.1429,99.48K,57.16K,1709.2,752.55,40.50B,No,1563.16,1190.17,1567.04,1338.0,-7.12
316,BAFNAPH.NS,149.33,10.18K,Health Technology,Pharmaceuticals: Major,89.0,78.0,84.0,59.0,11.705,7.3993,13.07K,56.97K,213.36,73.01,3.53B,No,140.11,136.33,143.48,133.37,-30.01
317,MAHABANK.NS,87.83,6327.55K,Finance,Major Banks,89.0,82.0,79.0,91.0,2.5271,2.4186,21832.16K,19792.10K,91.1,51.71,675.47B,No,78.86,65.33,80.48,69.62,-3.59
318,NEOGEN.NS,2035.7,17.96K,Process Industries,Chemicals: Specialty,89.0,90.0,86.0,95.0,99.1643,98.5357,116.48K,147.66K,2087.3,966.7,55.74B,No,1699.85,1416.59,1777.59,1413.83,-2.47
319,PANACEABIO.NS,550.25,192.65K,Health Technology,Pharmaceuticals: Major,89.0,96.0,92.0,92.0,44.4143,41.3929,732.60K,3563.21K,647.0,292.4,33.70B,No,409.64,388.0,431.66,380.38,-14.95
320,AGIIL.NS,371.0,489.92K,Finance,Real Estate Development,89.0,23.0,71.0,88.0,15.2214,15.0321,3056.95K,2276.27K,434.4,169.58,46.37B,No,372.35,293.19,378.28,313.3,-14.59
321,SHILPAMED.NS,527.5,182.68K,Health Technology,Pharmaceuticals: Major,89.0,88.0,93.0,92.0,24.0607,24.025,1111.36K,1434.45K,581.0,259.5,103.10B,No,462.38,376.26,475.56,376.9,-9.21
322,SOUTHWEST.NS,251.1,74.81K,Energy Minerals,Coal,89.0,76.0,72.0,84.0,16.5657,16.38,487.42K,753.27K,275.0,121.0,7.49B,No,243.94,193.08,244.55,212.65,-8.69
323,MAHESHWARI.NS,71.01,19.51K,Transportation,Air Freight/Couriers,89.0,95.0,94.0,90.0,4.0086,4.0086,38.60K,85.53K,72.96,39.04,2.10B,No,55.2,51.53,57.83,49.35,-2.67
324,KRN.NS,1215.1,69.24K,Producer Manufacturing,Industrial Machinery,89.0,58.0,78.0,92.0,61.0571,58.4786,762.99K,201.19K,1405.0,589.8,79.53B,No,1174.59,898.77,1219.56,938.16,-13.52
329,J&KBANK.NS,162.63,1928.57K,Finance,Regional Banks,89.0,91.0,84.0,92.0,5.17,4.9271,5127.32K,5278.34K,163.49,97.35,179.03B,No,137.07,113.82,140.7,119.01,-0.53
331,PRECOT.NS,714.35,2.40K,Process Industries,Textiles,89.0,76.0,92.0,94.0,43.3107,40.8643,8.14K,7.32K,861.25,300.05,8.57B,No,648.84,492.0,667.15,516.14,-17.06
334,SUPRIYA.NS,944.4,121.56K,Health Technology,Pharmaceuticals: Major,89.0,95.0,92.0,82.0,70.0286,63.7786,488.95K,765.32K,1085.0,545.5,75.96B,No,757.68,715.34,798.07,720.7,-12.96
335,MAHASTEEL.NS,810.0,1.91K,Non-Energy Minerals,Steel,88.0,38.0,8.0,66.0,41.1643,40.5393,3.94K,1.73K,1050.0,304.0,13.48B,No,878.59,744.47,862.73,851.28,-22.86
337,CLEANMAX.NS,1291.4,64.99K,Utilities,Alternative Power Generation,88.0,24.0,89.0,,72.8643,69.8643,334.03K,537.52K,1421.2,727.1,151.04B,No,1118.52,,1167.11,,-9.13
338,LOKESHMACH.NS,278.0,22.36K,Technology Services,Information Technology Services,88.0,73.0,76.0,95.0,11.1607,11.1321,59.46K,24.55K,286.8,138.96,5.92B,No,254.52,201.03,260.53,208.84,-3.07
339,SCHNEIDER.NS,1206.0,651.10K,Producer Manufacturing,Electrical Products,88.0,14.0,80.0,92.0,61.7857,43.1072,290.96K,801.55K,1417.8,571.85,288.36B,No,1190.35,898.13,1216.6,932.39,-14.94
340,THERMAX.NS,4728.8,48.60K,Producer Manufacturing,Industrial Machinery,88.0,56.0,90.0,93.0,188.3643,179.2357,340.08K,254.29K,5075.0,2742.7,532.42B,No,4343.35,3402.71,4509.16,3540.1,-6.82
342,WELINV.NS,1775.0,2.04K,Finance,Investment Banks/Brokers,88.0,59.0,85.0,87.0,64.1857,53.4572,1.34K,3.52K,1978.7,865.0,6.51B,No,1627.75,1313.44,1672.84,1416.91,-10.29
344,INDSWFTLAB.NS,164.47,586.23K,Health Technology,Pharmaceuticals: Major,88.0,90.0,61.0,94.0,9.4314,9.0457,1280.62K,1014.27K,173.25,87.15,14.30B,No,143.78,118.73,144.7,127.6,-5.07
350,ARVIND.NS,494.5,278.13K,Process Industries,Textiles,88.0,82.0,90.0,90.0,19.05,18.6929,860.85K,802.71K,518.3,274.8,129.62B,No,440.47,355.38,448.72,375.66,-4.59
352,PASUPTAC.NS,68.05,40.06K,Process Industries,Textiles,88.0,91.0,88.0,80.0,5.0907,4.9707,415.94K,1009.31K,78.95,40.1,6.07B,No,56.29,50.61,58.43,52.44,-13.81
355,PREMEXPLN.NS,722.85,2067.50K,Process Industries,Chemicals: Specialty,88.0,94.0,90.0,87.0,43.4357,42.2429,868.19K,943.64K,779.5,378.4,38.88B,No,580.29,543.4,604.54,526.82,-7.27
356,AEGISLOG.NS,969.0,2534.95K,Distribution Services,Wholesale Distributors,88.0,97.0,91.0,84.0,46.3107,45.4,2357.82K,8221.75K,1005.0,576.1,340.21B,No,727.14,726.08,769.51,714.97,-3.58
357,ZIMLAB.NS,107.5,17.22K,Health Technology,Pharmaceuticals: Generic,88.0,75.0,93.0,91.0,5.9536,5.9457,96.42K,56.40K,127.0,59.31,5.76B,No,94.6,77.33,98.22,79.59,-15.35
358,CHENNPETRO.NS,1184.0,406.04K,Energy Minerals,Oil Refining/Marketing,88.0,86.0,78.0,83.0,54.0072,52.5857,2301.77K,1552.19K,1249.0,603.1,176.31B,No,1067.51,920.79,1087.29,970.85,-5.2
359,AEQUS.NS,198.1,3645.78K,Electronic Technology,Aerospace & Defense,88.0,28.0,92.0,,11.6229,11.35,3861.62K,6202.02K,223.85,113.3,129.73B,No,185.34,,192.23,,-11.5
360,CEIGALL.NS,375.15,269.59K,Industrial Services,Engineering & Construction,88.0,69.0,84.0,92.0,16.1286,15.9464,625.59K,775.58K,390.4,222.61,65.35B,No,337.5,281.97,349.42,296.32,-3.91
361,EXICOM.NS,164.09,24249.03K,Producer Manufacturing,Electrical Products,88.0,97.0,96.0,90.0,13.9379,13.6564,4751.68K,15598.81K,214.45,75.6,22.78B,No,127.33,120.15,133.28,111.82,-23.48
362,ASTRAMICRO.NS,1450.5,312.09K,Electronic Technology,Telecommunications Equipment,88.0,94.0,87.0,93.0,64.0,61.5571,843.47K,1043.38K,1490.0,851.0,137.72B,No,1197.71,1039.74,1249.0,1044.47,-2.65
364,KPL.NS,2411.6,12.16K,Health Technology,Pharmaceuticals: Major,88.0,96.0,,,149.1571,146.2714,46.17K,42.18K,2600.0,1561.0,,No,,,,,-7.25
365,ELECTHERM.NS,1144.0,80.16K,Non-Energy Minerals,Steel,88.0,97.0,95.0,86.0,117.1786,117.1786,102.54K,341.71K,1280.4,551.0,14.58B,No,824.41,852.53,869.19,795.51,-10.65
367,RISHABH.NS,557.25,46.89K,Producer Manufacturing,Electrical Products,88.0,83.0,85.0,85.0,24.9857,24.8714,207.62K,158.26K,577.3,272.3,21.53B,No,498.08,426.37,509.97,435.45,-3.47
368,AYE.NS,166.65,2638.07K,Finance,Finance/Rental/Leasing,87.0,92.0,90.0,,11.2693,10.8093,1908.54K,1710.80K,168.78,88.22,40.75B,No,136.47,,140.97,,-1.26
369,NEPHROPLUS.NS,716.2,54.80K,Health Services,Medical/Nursing Services,87.0,91.0,74.0,,35.4536,35.4536,186.98K,269.26K,769.75,446.0,71.86B,No,600.59,,619.27,,-6.96
371,THYROCARE.NS,545.75,122.97K,Health Services,Medical/Nursing Services,87.0,84.0,89.0,82.0,22.2036,21.8821,556.20K,532.51K,578.25,318.07,86.93B,No,459.63,434.58,469.19,432.55,-5.62
372,MSTCLTD.NS,667.75,5046.26K,Retail Trade,Internet Retail,87.0,98.0,92.0,88.0,38.5286,37.1929,875.45K,4063.76K,689.0,362.15,46.99B,No,459.86,478.86,483.47,466.32,-3.08
373,ORCHPHARMA.NS,915.9,86.15K,Health Technology,Pharmaceuticals: Major,87.0,92.0,95.0,62.0,48.875,48.1429,100.12K,171.57K,989.9,480.0,46.45B,No,694.42,711.08,734.67,695.1,-7.48
374,ANGELONE.NS,345.8,3754.99K,Finance,Investment Banks/Brokers,87.0,84.0,91.0,85.0,12.5143,12.1071,10454.22K,7031.07K,356.15,208.63,315.84B,No,318.68,263.8,327.3,275.4,-2.91
375,ANTELOPUS.NS,755.05,185.56K,Energy Minerals,Integrated Oil,87.0,51.0,81.0,95.0,42.1393,38.0393,229.80K,155.17K,933.65,357.0,26.55B,No,724.13,564.33,730.51,575.01,-19.13
379,HONASA.NS,404.3,406.66K,Retail Trade,Specialty Stores,87.0,84.0,86.0,89.0,14.5179,14.5179,2574.98K,2265.18K,438.35,248.4,131.76B,No,367.68,306.86,376.97,317.96,-7.77
383,TIMEX.NS,489.5,148.68K,Consumer Durables,Other Consumer Specialties,87.0,96.0,,,23.7036,22.8107,630.43K,658.77K,507.0,323.0,49.40B,No,,,,,-3.45
385,NDLVENTURE.NS,128.31,2.77K,Consumer Services,Cable/Satellite Tv,87.0,76.0,51.0,87.0,5.4343,5.3336,49.31K,18.96K,140.0,62.01,4.32B,No,124.9,101.88,125.44,109.67,-8.35
386,SHAILY.NS,2882.7,106.10K,Process Industries,Chemicals: Specialty,87.0,62.0,91.0,70.0,162.9714,161.1214,518.83K,234.74K,3233.9,1535.9,132.59B,No,2579.25,2336.01,2697.77,2335.91,-10.86
387,BHARATFORG.NS,2017.7,621.90K,Producer Manufacturing,Metal Fabrication,87.0,61.0,51.0,89.0,52.8929,51.1857,1329.55K,1052.04K,2044.0,1100.5,964.21B,No,1898.23,1558.89,1924.16,1702.85,-1.29
389,CENTUM.NS,3653.3,15.69K,Electronic Technology,Electronic Components,87.0,90.0,79.0,92.0,179.4357,177.5786,84.67K,69.47K,3725.0,2044.2,53.86B,No,3083.19,2658.96,3220.87,2723.77,-1.92
390,WELSPLSOL.NS,53.49,597.89K,Non-Energy Minerals,Steel,87.0,91.0,,,4.4207,4.35,1586.31K,4890.86K,61.75,36.25,,No,,,,,-13.38
391,MANINDS.NS,568.4,238.72K,Producer Manufacturing,Industrial Machinery,87.0,61.0,88.0,84.0,30.3679,29.3143,979.04K,1380.47K,606.4,302.05,42.64B,No,524.94,429.77,542.95,443.58,-6.27
392,GROWW.NS,200.6,44079.93K,Miscellaneous,Investment Trusts,87.0,71.0,79.0,88.0,6.6557,6.6393,51961.12K,37440.60K,227.2,112.0,1241.78B,No,197.65,,199.28,175.73,-11.71
393,NIBE.NS,1622.3,79.08K,Process Industries,Textiles,87.0,98.0,93.0,93.0,93.7214,86.7643,211.91K,262.23K,1823.7,809.6,24.76B,No,1212.01,1158.21,1292.06,1127.75,-11.04
396,AEROENTER.NS,108.63,224.78K,Producer Manufacturing,Industrial Machinery,87.0,72.0,90.0,83.0,5.0779,5.0571,537.54K,687.04K,114.8,62.2,12.28B,No,96.41,85.77,100.33,86.31,-5.37
397,SAIPARENT.NS,568.7,40.81K,Health Technology,Pharmaceuticals: Major,87.0,88.0,,,29.2071,27.875,321.93K,430.43K,596.5,400.0,25.12B,No,489.8,,507.85,,-4.66
399,GOLDIAM.NS,477.8,666.37K,Consumer Durables,Other Consumer Specialties,87.0,91.0,90.0,82.0,24.4536,23.8321,909.23K,1829.32K,492.0,265.0,54.01B,No,399.27,368.52,415.61,366.98,-2.89
400,KIRLPNU.NS,1630.0,44.30K,Producer Manufacturing,Industrial Machinery,87.0,74.0,90.0,91.0,62.9143,60.8714,180.15K,113.72K,1705.0,990.1,105.94B,No,1484.45,1218.03,1520.41,1236.35,-4.4
401,APCOTEXIND.NS,523.0,48.75K,Process Industries,Chemicals: Specialty,86.0,79.0,88.0,86.0,26.6143,25.9857,120.44K,220.59K,579.0,310.45,27.11B,No,457.72,395.51,475.91,403.07,-9.67
403,KRISHNADEF.NS,1210.0,45.94K,Electronic Technology,Aerospace & Defense,86.0,74.0,40.0,92.0,66.8572,65.4357,151.97K,162.35K,1313.0,665.0,17.01B,No,1102.04,921.57,1122.51,983.41,-7.84
404,LLOYDSME.NS,1742.0,146.13K,Non-Energy Minerals,Steel,86.0,49.0,91.0,90.0,47.0857,42.9714,702.72K,399.39K,1888.6,1042.9,979.35B,No,1709.58,1376.34,1740.01,1414.44,-7.76
405,XPROINDIA.NS,1384.5,623.73K,Process Industries,Industrial Specialties,86.0,92.0,92.0,88.0,69.1929,69.0357,47.19K,42.93K,1413.0,788.05,32.49B,No,1106.08,1045.7,1137.88,1026.51,-2.02
407,BANKA.NS,89.89,2.97K,Industrial Services,Environmental Services,86.0,66.0,94.0,83.0,1.9429,1.05,12.54K,5.38K,97.88,41.0,977.48M,No,80.93,73.95,83.38,68.36,-8.16
408,IMFA.NS,1434.7,84.37K,Non-Energy Minerals,Other Metals/Minerals,86.0,32.0,67.0,60.0,65.5429,64.7714,228.17K,164.37K,1679.9,700.05,77.38B,No,1465.99,1287.76,1482.33,1356.13,-14.6
411,AXISCADES.NS,1855.6,78.20K,Commercial Services,Miscellaneous Commercial Services,86.0,9.0,75.0,87.0,99.9357,79.3643,185.64K,308.98K,2211.0,1063.3,79.00B,No,1920.79,1551.35,1954.45,1568.06,-16.07
412,HALDYNGL.NS,125.67,40.68K,Process Industries,Containers/Packaging,86.0,85.0,,,7.2279,7.0007,131.16K,220.52K,130.0,85.0,,No,,,,,-3.33
415,SCI.NS,308.7,2424.34K,Transportation,Air Freight/Couriers,86.0,24.0,77.0,87.0,12.7036,12.1107,10874.37K,7826.58K,368.75,195.55,143.79B,No,300.97,250.07,308.72,257.33,-16.28
416,DJML.NS,111.16,636.42K,Commercial Services,Commercial Printing/Forms,86.0,89.0,78.0,95.0,5.33,5.2693,161.51K,424.23K,126.96,52.0,3.85B,No,96.96,86.59,100.83,85.45,-12.44
417,ADFFOODS.NS,290.25,162.24K,Consumer Non-Durables,Food: Specialty/Candy,86.0,77.0,92.0,89.0,12.7143,12.6071,386.53K,269.65K,301.65,153.1,31.89B,No,256.32,219.23,270.14,221.06,-3.78
420,MENONBE.NS,171.66,171.57K,Producer Manufacturing,Metal Fabrication,86.0,88.0,88.0,92.0,8.2386,8.2036,229.07K,694.28K,183.0,101.5,9.62B,No,137.56,123.27,142.93,124.12,-6.2
421,KRISHANA.NS,680.5,43.40K,Process Industries,Chemicals: Agricultural,86.0,44.0,85.0,88.0,20.475,20.3429,298.41K,176.49K,718.5,411.95,42.07B,No,653.72,550.48,659.5,556.63,-5.29
423,OCCLLTD.NS,136.0,81.93K,Process Industries,Chemicals: Specialty,86.0,96.0,93.0,88.0,8.1229,7.6307,258.19K,856.55K,159.42,75.71,6.79B,No,106.01,106.54,110.47,98.71,-14.69
424,CRAFTSMAN.NS,9303.0,49.88K,Producer Manufacturing,Trucks/Construction/Farm Machinery,86.0,77.0,77.0,86.0,341.7857,329.5714,123.51K,69.42K,9738.0,5100.0,222.01B,No,8272.72,7407.29,8547.2,7742.3,-4.47
426,GRANDOAK.NS,39.83,47.53K,Finance,Finance/Rental/Leasing,86.0,97.0,,,3.1243,2.79,69.15K,260.67K,39.83,24.0,,No,,,,,0.0
427,BIRLACABLE.NS,203.0,99.16K,Producer Manufacturing,Electrical Products,86.0,89.0,91.0,89.0,12.1593,10.625,134.71K,172.65K,241.0,104.0,6.09B,No,169.96,151.08,178.3,148.66,-15.77
428,SANDHAR.NS,693.15,156.17K,Consumer Durables,Motor Vehicles,86.0,95.0,85.0,80.0,39.2,39.0571,563.19K,724.92K,763.2,405.2,41.82B,No,574.44,527.3,591.44,542.74,-9.18
429,POLYCAB.NS,9582.0,152.69K,Producer Manufacturing,Electrical Products,86.0,64.0,75.0,85.0,200.8571,200.0714,435.57K,230.67K,9833.0,5787.0,1442.58B,No,8789.71,7810.77,9014.55,7992.15,-2.55
432,MBAPL.NS,569.9,24.53K,Process Industries,Chemicals: Agricultural,86.0,73.0,73.0,88.0,16.9107,16.725,273.18K,192.56K,585.0,345.6,49.88B,No,539.66,454.84,539.17,472.95,-2.58
433,WOCKPHARMA.NS,1908.8,431.71K,Health Technology,Pharmaceuticals: Major,86.0,91.0,89.0,89.0,143.8357,128.6643,2396.06K,3302.59K,2422.3,1086.7,310.13B,No,1622.61,1435.74,1673.02,1450.4,-21.2
434,DSSL.NS,1288.2,29.07K,Technology Services,Information Technology Services,86.0,22.0,87.0,89.0,93.1857,83.1643,176.22K,193.11K,1924.8,781.0,16.41B,No,1301.37,1030.01,1319.22,1067.6,-33.07
435,LOTUSEYE.NS,138.47,20.42K,Health Services,Medical/Nursing Services,85.0,91.0,78.0,85.0,8.0307,8.0257,27.31K,101.82K,147.0,67.72,2.88B,No,114.7,116.11,119.01,116.15,-5.8
436,SAILIFE.NS,1196.0,177.94K,Commercial Services,Miscellaneous Commercial Services,85.0,77.0,69.0,88.0,40.05,39.1572,672.05K,438.32K,1244.2,716.6,253.67B,No,1092.31,949.41,1116.07,987.37,-3.87
438,CARYSIL.NS,1177.0,28.70K,Consumer Durables,Home Furnishings,85.0,93.0,87.0,80.0,58.1607,57.8536,154.51K,234.04K,1224.0,732.1,33.48B,No,981.76,916.61,1019.69,916.56,-3.84
439,JKIPL.NS,108.05,110.15K,Distribution Services,Wholesale Distributors,85.0,94.0,97.0,48.0,5.2807,4.9057,124.64K,37.03K,126.95,45.4,4.15B,No,88.74,,94.22,82.57,-14.89
440,AZAD.NS,2138.6,348.67K,Producer Manufacturing,Metal Fabrication,85.0,39.0,81.0,85.0,93.7143,93.6214,486.33K,482.48K,2350.0,1360.0,138.11B,No,2047.24,1714.9,2113.13,1758.51,-9.0
441,SOUTHBANK.NS,47.2,7399.96K,Finance,Major Banks,85.0,90.0,68.0,77.0,1.5493,1.5207,17461.98K,24650.68K,48.55,28.11,123.55B,No,40.89,38.1,41.68,40.3,-2.78
443,CUMMINSIND.NS,5712.0,112.50K,Producer Manufacturing,Auto Parts: Oem,85.0,72.0,71.0,83.0,156.1071,151.4643,660.68K,412.54K,6100.0,3212.2,1582.81B,No,5370.69,4568.79,5479.28,4823.24,-6.36
444,NATIONALUM.NS,360.9,9749.26K,Non-Energy Minerals,Aluminum,85.0,6.0,15.0,86.0,15.8679,14.0821,12752.95K,10091.58K,445.15,179.93,662.84B,No,411.01,323.31,404.71,366.04,-18.93
447,FEDERALBNK.NS,318.15,2878.45K,Finance,Major Banks,85.0,84.0,63.0,81.0,7.7214,7.4964,12891.42K,10169.37K,320.7,185.11,784.12B,No,293.02,259.19,296.8,281.53,-0.8
449,GRANULES.NS,752.0,897.00K,Health Technology,Pharmaceuticals: Other,85.0,54.0,79.0,85.0,21.4679,21.2607,1369.07K,752.86K,804.3,432.6,186.44B,No,724.72,605.41,736.37,636.64,-6.5
450,KWIL.NS,37.16,7194.57K,Consumer Non-Durables,Food: Meat/Fish/Dairy,85.0,95.0,87.0,,2.2236,2.1914,15915.51K,37924.63K,39.45,22.24,87.36B,No,28.45,,29.81,,-5.8
452,MSPL.NS,43.05,3450.99K,Non-Energy Minerals,Steel,85.0,59.0,84.0,73.0,1.79,1.7257,2165.05K,5333.31K,44.85,26.25,24.40B,No,38.86,34.99,39.91,35.19,-4.01
453,WEBELSOLAR.NS,106.35,746.63K,Electronic Technology,Semiconductors,85.0,52.0,96.0,49.0,4.475,4.1521,8576.97K,3296.95K,157.3,50.4,46.22B,No,104.07,98.81,106.93,87.18,-32.39
454,BIMETAL.NS,635.1,1.19K,Producer Manufacturing,Auto Parts: Oem,85.0,82.0,,,36.0714,33.2571,0.82K,1.28K,666.0,470.9,,No,,,591.87,,-4.64
455,VERANDA.NS,239.0,274.88K,Commercial Services,Miscellaneous Commercial Services,85.0,42.0,90.0,74.0,12.1421,12.01,516.53K,355.73K,272.5,130.02,23.02B,No,204.99,202.99,213.85,193.57,-12.29
456,INFOBEAN.NS,170.52,110.94K,Technology Services,Packaged Software,85.0,80.0,67.0,71.0,10.1207,9.6136,1376.36K,2351.46K,257.5,91.45,16.53B,No,167.24,166.55,167.39,178.01,-33.78
457,RSWM.NS,204.17,57.64K,Process Industries,Textiles,85.0,93.0,87.0,85.0,12.9279,12.9279,180.93K,689.02K,224.0,120.0,9.62B,No,169.95,153.91,176.32,155.74,-8.85
458,GOKULAGRO.NS,220.22,295.87K,Process Industries,Agricultural Commodities/Milling,85.0,13.0,84.0,69.0,8.5179,8.5179,2646.33K,350.85K,249.92,142.5,64.98B,No,226.06,191.19,228.11,194.62,-11.88
462,NAVINFLUOR.NS,7336.0,91.93K,Process Industries,Chemicals: Specialty,85.0,68.0,55.0,82.0,208.2857,207.6429,214.69K,122.38K,7525.0,4498.5,376.23B,No,6822.78,5964.51,6945.7,6366.05,-2.51
464,GULPOLY.NS,212.11,227.16K,Consumer Non-Durables,Food: Specialty/Candy,85.0,78.0,80.0,91.0,9.9257,9.7014,472.90K,921.17K,221.75,121.5,13.19B,No,186.74,157.42,190.69,160.74,-4.35
