IndustryRank,Ticker,Price,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol10,52WKH,52WKL,MCAP,SMA50,SMA200,SMA10W,SMA30W
1,JETMALL.BO,68.3,Distribution Services,Food Distributors,97.0,89.0,97.0,91.0,0.2821,0.1871,9.60K,68.3,12.2,409.32M,55.37,39.95,57.74,43.34
2,RRMETAL.BO,60.13,Distribution Services,Food Distributors,94.0,98.0,97.0,93.0,2.1693,0.4836,5.00K,60.13,23.8,541.70M,34.31,32.34,35.49,31.05
3,NMSGLOBAL.BO,88.58,Distribution Services,Food Distributors,85.0,77.0,50.0,83.0,6.175,5.2557,3.20K,103.94,46.56,266.24M,78.8,75.2,80.09,74.57
4,STCINDIA.NS,135.95,Distribution Services,Food Distributors,64.0,85.0,78.0,72.0,8.0443,7.655,554.57K,153.89,97.04,8.16B,120.03,121.17,121.07,117.87
5,EMPIND.BO,1018.4,Distribution Services,Food Distributors,57.0,79.0,54.0,63.0,30.7893,29.1929,2.06K,1260.0,811.05,6.11B,951.41,974.59,954.31,924.03
1,VPAL.BO,134.9,Retail Trade,Food Retail,61.0,,,,12.6857,11.5107,147.68K,181.75,116.95,2.24B,,,,
2,PATELRMART.NS,217.89,Retail Trade,Food Retail,52.0,74.0,77.0,56.0,13.2014,12.9729,513.60K,305.0,150.25,7.28B,203.14,207.64,205.24,195.79
3,CITYSQUARE.BO,121.45,Retail Trade,Food Retail,45.0,0.0,0.0,12.0,2.5214,0.4286,0.48K,222.2,78.81,1.08B,170.57,,167.73,171.19
4,SPENCERS.NS,37.07,Retail Trade,Food Retail,29.0,46.0,66.0,30.0,1.5236,1.5014,69.66K,66.0,24.38,3.34B,35.96,41.18,36.33,36.21
5,ACML.BO,33.96,Retail Trade,Food Retail,14.0,27.0,32.0,13.0,0.4743,0.1871,0.30K,58.5,31.0,496.97M,33.91,40.63,34.19,36.21
1,APIS.BO,63.1,Consumer Non-Durables,Food: Major Diversified,96.0,61.0,44.0,85.0,2.9921,2.9543,11.72K,110.42,11.78,8.69B,62.03,54.2,62.03,65.0
2,IBINFO.BO,48.45,Consumer Non-Durables,Food: Major Diversified,92.0,5.0,0.0,97.0,1.125,0.0007,0.92K,82.03,16.0,620.51M,54.91,40.06,54.6,47.18
3,SANSTAR.NS,116.45,Consumer Non-Durables,Food: Major Diversified,82.0,56.0,84.0,82.0,5.4314,5.38,500.63K,121.99,74.3,21.22B,102.66,93.47,104.75,93.69
4,TERAI.BO,133.2,Consumer Non-Durables,Food: Major Diversified,75.0,89.0,84.0,81.0,7.6,6.7571,2.87K,176.5,83.0,916.32M,107.01,103.01,108.85,103.71
5,SVJ.BO,394.45,Consumer Non-Durables,Food: Major Diversified,75.0,16.0,5.0,21.0,30.225,27.2464,4.28K,583.55,190.95,2.20B,409.04,413.15,409.64,465.45
1,SCPL.NS,482.85,Consumer Non-Durables,Food: Meat/Fish/Dairy,92.0,66.0,88.0,94.0,31.0786,30.5286,32.73K,524.9,190.03,5.07B,411.86,310.6,418.55,341.91
2,APEX.NS,419.75,Consumer Non-Durables,Food: Meat/Fish/Dairy,88.0,16.0,71.0,92.0,17.9464,16.6464,297.45K,514.5,208.74,13.12B,447.04,334.11,447.6,370.26
3,ESSEX.BO,41.62,Consumer Non-Durables,Food: Meat/Fish/Dairy,85.0,53.0,84.0,92.0,2.5029,2.495,30.80K,49.3,18.25,635.20M,42.41,30.07,42.77,31.04
4,KWIL.NS,35.95,Consumer Non-Durables,Food: Meat/Fish/Dairy,82.0,94.0,87.0,,2.31,2.3,24340.55K,39.45,22.24,84.47B,29.21,,29.68,
5,PARAGMILK.NS,229.61,Consumer Non-Durables,Food: Meat/Fish/Dairy,37.0,70.0,51.0,10.0,9.8429,9.7093,466.61K,376.95,177.84,29.05B,223.82,257.54,224.27,239.83
1,YASHO.NS,2878.6,Consumer Non-Durables,Food: Specialty/Candy,94.0,95.0,96.0,94.0,190.9929,188.0643,59.84K,3025.0,1130.0,34.76B,1943.77,1630.99,2007.15,1620.57
2,MCLEODRUSS.NS,65.0,Consumer Non-Durables,Food: Specialty/Candy,92.0,8.0,94.0,87.0,1.3629,0.17,220.40K,78.41,28.5,6.79B,62.69,49.75,63.26,49.55
3,NITTAGELA.NS,1578.1,Consumer Non-Durables,Food: Specialty/Candy,92.0,87.0,,,137.1857,126.3429,25.26K,1870.0,882.0,,,,,
4,TRANSFD.BO,485.0,Consumer Non-Durables,Food: Specialty/Candy,90.0,23.0,30.0,78.0,17.1821,11.4143,0.01K,570.0,226.4,70.27M,474.48,403.11,480.4,447.72
5,JAYKAILASH.BO,37.91,Consumer Non-Durables,Food: Specialty/Candy,89.0,69.0,98.0,83.0,2.7357,2.315,102.24K,63.9,10.73,189.43M,31.54,30.68,32.31,23.78
1,MEGAMONT.BO,149.0,Non-Energy Minerals,Forest Products,97.0,23.0,93.0,97.0,10.6107,9.5107,1.87K,206.0,30.75,2.22B,161.3,88.18,162.76,105.17
2,STYLAMIND.NS,3327.8,Non-Energy Minerals,Forest Products,92.0,89.0,87.0,90.0,108.3571,106.2357,41.62K,3357.3,1593.7,56.44B,2665.85,2218.08,2706.73,2364.93
3,PREMIERPOL.NS,63.33,Non-Energy Minerals,Forest Products,75.0,80.0,27.0,89.0,2.1429,2.1214,134.80K,68.87,38.0,6.63B,55.48,49.84,55.86,52.36
4,ECOBOAR.BO,54.34,Non-Energy Minerals,Forest Products,75.0,4.0,13.0,80.0,4.7857,4.7857,9.76K,77.8,26.5,1.43B,64.36,49.78,63.17,56.36
5,GREENLAM.NS,252.25,Non-Energy Minerals,Forest Products,59.0,66.0,49.0,61.0,10.6336,10.6114,217.90K,278.63,197.59,64.36B,231.58,241.51,233.69,236.36
1,RAJSEC.BO,50.53,Utilities,Gas Distributors,83.0,74.0,77.0,74.0,0.9721,0.8379,268.23K,66.99,29.0,3.88B,46.63,42.43,46.75,41.96
2,ATGL.NS,727.3,Utilities,Gas Distributors,80.0,87.0,82.0,78.0,31.5643,31.0393,4909.86K,859.85,462.8,799.89B,668.1,600.38,678.79,592.68
3,MGL.NS,1209.0,Utilities,Gas Distributors,56.0,78.0,60.0,62.0,33.0429,30.3429,261.91K,1586.9,900.0,119.42B,1107.91,1150.84,1119.49,1100.08
4,GAIL.NS,173.9,Utilities,Gas Distributors,53.0,77.0,59.0,56.0,4.0114,3.845,8998.93K,195.45,134.36,1143.41B,164.61,167.86,165.24,162.8
5,PETRONET.NS,288.7,Utilities,Gas Distributors,49.0,71.0,25.0,61.0,6.45,5.9571,3962.71K,326.4,235.35,433.05B,274.94,279.05,274.71,279.05
1,CALLISTA.BO,187.45,Consumer Durables,Home Furnishings,98.0,91.0,11.0,95.0,2.6964,1.125,0.50K,225.95,8.33,571.08M,165.42,121.93,162.61,155.37
2,CARYSIL.NS,1199.3,Consumer Durables,Home Furnishings,84.0,85.0,89.0,81.0,63.3643,63.0572,226.30K,1247.9,732.1,34.11B,1004.83,921.97,1021.12,917.04
3,SEKURITIND.BO,133.7,Consumer Durables,Home Furnishings,81.0,91.0,85.0,78.0,6.3893,6.0357,128.48K,138.8,80.0,12.18B,110.1,107.22,111.94,104.3
4,CERA.NS,6448.0,Consumer Durables,Home Furnishings,70.0,78.0,82.0,75.0,210.8571,206.5714,54.52K,7100.0,4461.1,83.13B,5628.04,5507.57,5670.05,5252.93
5,PRIMAPLA.BO,130.05,Consumer Durables,Home Furnishings,59.0,93.0,65.0,68.0,10.2036,9.4857,22.78K,154.95,88.0,1.43B,115.81,121.49,115.18,115.41
1,MCPL.BO,112.5,Retail Trade,Home Improvement Chains,69.0,97.0,88.0,71.0,5.0643,3.98,24.50K,202.35,60.0,1.55B,81.42,91.96,83.66,85.46
2,SHANKARA.NS,121.81,Retail Trade,Home Improvement Chains,3.0,27.0,55.0,60.0,2.3579,1.5964,48.88K,1209.8,98.25,2.95B,118.88,203.01,118.79,112.7
1,EMROCK.BO,270.25,Consumer Durables,Homebuilding,98.0,10.0,11.0,95.0,14.5179,14.475,2.82K,305.95,24.19,4.28B,278.91,188.07,280.26,244.68
2,AIRLTD.BO,596.3,Consumer Durables,Homebuilding,97.0,29.0,18.0,27.0,0.8607,0.0,0.00K,713.95,70.25,13.36B,609.35,584.85,608.37,635.53
3,BRRL.BO,937.2,Consumer Durables,Homebuilding,94.0,38.0,45.0,95.0,64.0286,54.5607,1.90K,1011.0,226.0,9.68B,949.42,641.22,943.98,771.73
4,ATALREAL.NS,30.72,Consumer Durables,Homebuilding,87.0,69.0,82.0,79.0,2.1686,2.055,11113.79K,32.0,17.75,3.81B,28.01,24.88,28.32,26.07
5,EASTBUILD.BO,62.29,Consumer Durables,Homebuilding,70.0,55.0,89.0,79.0,1.4836,0.8436,0.00K,71.76,38.36,116.91M,60.85,56.3,62.25,56.81
1,KOVAI.NS,5842.5,Health Services,Hospital/Nursing Management,96.0,72.0,,,151.4286,147.7857,5.41K,6052.6,2576.65,63.93B,,,5281.64,
2,PARKHOSPS.NS,277.6,Health Services,Hospital/Nursing Management,92.0,70.0,87.0,,13.1786,12.6964,810.23K,297.0,138.1,119.90B,253.12,,255.56,
3,KMCSHIL.BO,115.1,Health Services,Hospital/Nursing Management,90.0,89.0,83.0,90.0,5.4214,5.3,176.19K,124.85,62.5,18.77B,98.96,81.93,99.89,87.27
4,HANNAH.BO,97.1,Health Services,Hospital/Nursing Management,89.0,94.0,92.0,,5.7729,4.8921,23.60K,109.0,55.99,2.20B,82.53,,82.9,
5,ASARFI.BO,227.0,Health Services,Hospital/Nursing Management,88.0,88.0,86.0,70.0,8.675,7.9357,43.40K,256.95,117.2,4.47B,213.55,176.91,213.11,189.7
1,AHLWEST.NS,599.85,Consumer Services,Hotels/Resorts/Cruise Lines,98.0,6.0,98.0,98.0,27.975,24.1821,0.76K,751.4,137.0,6.99B,473.77,226.77,491.08,260.82
2,SAYAJIHOTL.NS,304.0,Consumer Services,Hotels/Resorts/Cruise Lines,95.0,65.0,,,12.1,6.3429,0.08K,323.95,138.7,,,,270.9,
3,RASRESOR.BO,58.06,Consumer Services,Hotels/Resorts/Cruise Lines,86.0,74.0,90.0,88.0,4.2379,3.6971,0.78K,64.9,33.34,230.48M,49.99,42.4,50.77,43.65
4,SHILINDORE.BO,1100.0,Consumer Services,Hotels/Resorts/Cruise Lines,79.0,76.0,86.0,90.0,9.0,8.7143,16.84K,1299.0,702.05,3.35B,1008.42,905.98,1015.2,886.49
5,THELEELA.NS,494.2,Consumer Services,Hotels/Resorts/Cruise Lines,75.0,89.0,59.0,80.0,18.8393,18.2786,491.72K,502.0,384.0,165.04B,424.28,424.63,429.43,425.9
1,CUPID.NS,176.92,Consumer Non-Durables,Household/Personal Care,98.0,96.0,97.0,96.0,7.5914,7.0543,25740.44K,177.0,17.87,237.90B,127.25,83.9,131.31,99.13
2,BAJAJCON.NS,625.25,Consumer Non-Durables,Household/Personal Care,96.0,80.0,95.0,96.0,24.425,23.8393,897.38K,632.6,168.25,81.67B,523.82,352.68,535.1,395.43
3,MARICO.NS,817.05,Consumer Non-Durables,Household/Personal Care,64.0,28.0,39.0,68.0,16.9786,16.7321,1905.94K,848.8,687.0,1058.79B,805.43,756.93,808.1,770.91
4,HIPOLIN.BO,71.54,Consumer Non-Durables,Household/Personal Care,58.0,0.0,68.0,86.0,1.265,0.1193,0.21K,118.65,44.83,224.01M,83.61,71.7,84.78,65.85
5,AMWILL.BO,44.5,Consumer Non-Durables,Household/Personal Care,57.0,95.0,76.0,82.0,2.8857,2.4264,25.80K,83.49,28.91,890.16M,36.53,42.33,36.5,37.36
1,GRAMEVA.BO,82.5,Producer Manufacturing,Industrial Conglomerates,88.0,95.0,82.0,88.0,3.9557,1.5914,0.68K,95.0,28.8,395.95M,66.33,60.82,66.97,61.39
2,TIRUPATIFL.NS,47.98,Producer Manufacturing,Industrial Conglomerates,75.0,84.0,47.0,89.0,2.3407,2.3129,203.63K,52.0,30.11,5.68B,44.14,39.1,44.48,39.58
3,3MINDIA.NS,33125.0,Producer Manufacturing,Industrial Conglomerates,51.0,64.0,22.0,43.0,685.3571,669.6429,2.41K,38030.0,28275.0,373.16B,32212.5,32952.95,32343.0,33539.17
4,IPRINGLTD.BO,122.25,Producer Manufacturing,Industrial Conglomerates,43.0,67.0,34.0,59.0,7.5786,7.025,0.59K,185.0,93.0,1.55B,119.07,122.95,119.82,113.8
5,KCP.NS,167.85,Producer Manufacturing,Industrial Conglomerates,41.0,62.0,60.0,38.0,5.4929,5.385,120.72K,229.32,125.0,21.64B,166.8,176.04,168.24,166.0
1,LIPPISYS.BO,186.38,Producer Manufacturing,Industrial Machinery,98.0,99.0,98.0,98.0,8.5336,4.4329,100.68K,186.38,19.9,1.30B,82.29,43.83,88.92,52.19
2,BATLIBOI.NS,80.53,Producer Manufacturing,Industrial Machinery,98.0,37.0,,,4.0286,3.9536,24.59K,88.95,15.7,3.80B,,,73.16,
3,EMAINDIA.BO,773.85,Producer Manufacturing,Industrial Machinery,97.0,74.0,94.0,94.0,18.0929,4.5143,1.50K,875.0,86.5,777.72M,656.19,447.17,671.98,513.82
4,FILTRON.BO,88.16,Producer Manufacturing,Industrial Machinery,97.0,29.0,9.0,84.0,0.1314,0.0679,0.00K,106.41,7.0,5.60B,91.18,74.2,90.87,92.76
5,DEEDEV.NS,703.05,Producer Manufacturing,Industrial Machinery,96.0,96.0,97.0,97.0,45.1822,40.4572,207.29K,760.0,183.0,48.70B,522.12,315.42,533.81,338.07
1,CDG.BO,233.65,Process Industries,Industrial Specialties,97.0,88.0,95.0,98.0,14.2536,11.7143,4.53K,263.9,52.6,2.16B,194.7,119.46,199.03,147.11
2,FCL.NS,43.52,Process Industries,Industrial Specialties,94.0,92.0,96.0,93.0,2.7786,2.5821,17912.39K,45.7,19.1,50.68B,31.66,25.83,31.93,26.14
3,PANAMAPET.NS,483.25,Process Industries,Industrial Specialties,92.0,97.0,95.0,93.0,28.6357,27.3286,1807.15K,489.9,229.0,29.23B,316.27,292.62,330.3,298.69
4,KELENRG.BO,6029.3,Process Industries,Industrial Specialties,92.0,93.0,95.0,91.0,256.2857,229.0286,0.84K,6029.3,2900.0,6.03B,4769.28,4006.33,4863.25,3919.81
5,BEEZAASAN.BO,343.95,Process Industries,Industrial Specialties,90.0,97.0,93.0,89.0,19.3786,19.2821,71.44K,349.0,177.05,5.21B,244.2,229.97,249.06,229.15
1,STLTECH.NS,654.35,Technology Services,Information Technology Services,98.0,98.0,98.0,98.0,39.0536,34.1893,3699.28K,679.9,84.6,319.43B,431.28,203.14,445.46,240.24
2,AXISOL.BO,336.95,Technology Services,Information Technology Services,98.0,95.0,95.0,98.0,9.3893,4.4393,13.18K,350.0,15.0,15.89B,278.83,139.44,284.9,185.75
3,COVANCE.BO,167.4,Technology Services,Information Technology Services,98.0,29.0,18.0,94.0,10.3464,8.1607,12.80K,171.34,15.58,3.71B,167.6,120.9,167.34,149.44
4,SESHACHAL.BO,93.41,Technology Services,Information Technology Services,98.0,25.0,9.0,98.0,0.135,0.0,0.01K,105.31,2.39,64.86M,97.19,60.04,96.88,79.38
5,SIGMAADV.NS,525.05,Technology Services,Information Technology Services,97.0,98.0,98.0,97.0,28.2464,25.2464,417.71K,525.05,81.61,92.53B,337.91,215.47,357.54,238.84
1,RRFIN.BO,68.25,Finance,Insurance Brokers/Services,67.0,49.0,3.0,0.0,4.225,3.3986,5.25K,263.7,25.76,754.89M,73.99,116.32,73.74,100.77
1,ANTELOPUS.NS,775.2,Energy Minerals,Integrated Oil,87.0,55.0,86.0,96.0,45.625,41.9393,175.36K,933.65,357.0,27.26B,730.82,567.95,732.52,575.68
2,IRMENERGY.NS,279.85,Energy Minerals,Integrated Oil,67.0,47.0,82.0,47.0,15.225,14.675,338.42K,393.0,165.4,11.49B,276.89,275.53,280.36,256.22
3,HINDOILEXP.NS,162.68,Energy Minerals,Integrated Oil,59.0,31.0,71.0,60.0,9.9679,9.9679,1939.14K,188.65,117.5,21.51B,163.3,154.85,163.11,151.34
4,IOC.NS,143.43,Energy Minerals,Integrated Oil,37.0,55.0,15.0,28.0,3.3136,2.6079,13148.07K,188.96,130.22,2025.41B,141.81,154.8,141.31,154.27
5,GNRL.NS,85.55,Energy Minerals,Integrated Oil,16.0,7.0,,,3.1693,3.1514,159.58K,105.05,84.95,,,,,
1,MSTCLTD.NS,692.75,Retail Trade,Internet Retail,88.0,98.0,93.0,89.0,45.0393,43.8107,4850.60K,724.4,362.15,48.77B,477.41,482.63,485.67,467.05
2,NYKAA.NS,302.3,Retail Trade,Internet Retail,81.0,75.0,71.0,77.0,8.1821,7.8143,9596.82K,303.75,193.23,865.73B,268.66,257.08,272.01,260.11
3,HEALTHX.NS,316.2,Retail Trade,Internet Retail,60.0,73.0,51.0,57.0,12.2036,11.6464,13.50K,363.0,252.5,10.06B,288.75,295.83,290.23,294.11
4,ISFT.NS,81.01,Retail Trade,Internet Retail,38.0,33.0,66.0,25.0,3.0436,3.0229,11.31K,119.07,54.05,1.32B,80.43,86.76,80.45,81.38
5,INDIAMART.NS,2089.4,Retail Trade,Internet Retail,27.0,58.0,20.0,38.0,45.9214,42.4857,102.89K,2799.0,1911.0,125.65B,2057.86,2227.98,2058.18,2131.33
1,ABSLAMC.NS,1180.6,Technology Services,Internet Software/Services,84.0,83.0,66.0,91.0,44.1214,43.55,542.30K,1189.0,708.0,341.40B,1053.14,882.63,1066.02,917.56
2,CARTRADE.NS,2558.6,Technology Services,Internet Software/Services,82.0,95.0,89.0,35.0,152.7,150.3786,2575.53K,3290.5,1557.0,122.87B,1907.39,2329.35,1934.95,2176.42
3,BLSE.NS,227.03,Technology Services,Internet Software/Services,81.0,75.0,91.0,60.0,8.2,8.2,249.16K,237.5,124.3,20.58B,203.29,186.75,205.75,184.74
4,MOTILALOFS.NS,953.45,Technology Services,Internet Software/Services,74.0,79.0,83.0,70.0,30.8071,27.3964,1266.51K,1097.1,614.9,574.12B,847.48,854.13,854.83,808.59
5,TBOTEK.NS,1489.8,Technology Services,Internet Software/Services,63.0,91.0,69.0,30.0,62.8071,59.4214,345.00K,1764.8,1004.2,159.09B,1252.78,1428.74,1269.96,1364.26
1,MRUTR.BO,49.57,Finance,Investment Banks/Brokers,98.0,97.0,98.0,98.0,0.8536,0.0,1.06K,49.57,0.46,35.81B,32.18,12.65,33.53,17.72
2,TANDHANIN.BO,143.8,Finance,Investment Banks/Brokers,98.0,96.0,98.0,98.0,2.3214,0.0,0.16K,143.8,10.48,7.16B,95.63,38.68,99.39,51.15
3,HIKLASS.BO,77.25,Finance,Investment Banks/Brokers,98.0,2.0,92.0,98.0,0.9807,0.6664,0.07K,108.35,6.49,2.33B,90.27,42.21,90.87,53.96
4,STELLANT.BO,558.75,Finance,Investment Banks/Brokers,98.0,53.0,5.0,89.0,32.5107,32.3821,2.58K,683.8,46.76,3.09B,567.24,450.0,568.7,559.54
5,PHCAP.BO,958.05,Finance,Investment Banks/Brokers,97.0,93.0,92.0,98.0,29.1393,27.325,4.03K,970.0,165.05,2.87B,767.38,458.06,788.85,582.55
1,NEWMKTAVE.BO,35.09,Finance,Investment Managers,97.0,97.0,97.0,98.0,0.7079,0.0,,35.09,9.1,173.34M,24.22,14.0,25.37,16.53
2,VGCL.BO,52.4,Finance,Investment Managers,85.0,11.0,92.0,85.0,2.7621,2.6193,2.70K,59.5,28.1,1.20B,50.64,40.98,52.24,40.8
3,MIIL.BO,757.6,Finance,Investment Managers,85.0,45.0,85.0,87.0,37.95,37.95,75.24K,818.7,470.1,16.46B,732.42,600.69,738.14,627.68
4,NUVAMA.NS,1739.6,Finance,Investment Managers,83.0,86.0,87.0,78.0,60.35,57.2143,549.68K,1779.0,1096.9,317.19B,1483.6,1386.15,1510.08,1394.5
5,ANANDRATHI.NS,1867.5,Finance,Investment Managers,83.0,62.0,63.0,83.0,46.6286,46.2571,414.62K,1887.0,1010.0,310.08B,1788.19,1582.01,1793.13,1614.69
1,GROWW.NS,199.87,Miscellaneous,Investment Trusts,84.0,63.0,69.0,85.0,6.8993,6.8829,41654.70K,227.2,112.0,1237.51B,198.92,,199.12,175.68
2,ALTIUSINVIT.BO,168.69,Miscellaneous,Investment Trusts,63.0,42.0,38.0,65.0,1.3764,1.2336,23562.50K,171.0,140.0,514.07B,165.88,156.13,166.43,159.54
3,PSPLATINA.BO,1052000.0,Miscellaneous,Investment Trusts,53.0,47.0,25.0,54.0,2214.1429,607.1429,,1065000.0,970000.0,3.54B,1051099.98,1028572.12,1052149.9,1039826.8
4,PSTITANIA.BO,1090000.0,Miscellaneous,Investment Trusts,51.0,40.0,28.0,57.0,0.0,0.0,,1111111.1,1045500.0,4.86B,1091368.89,1071675.07,1092111.11,1078560.2
5,CITIUSINVT.BO,106.06,Miscellaneous,Investment Trusts,45.0,44.0,,,1.5757,1.5229,90.32K,111.98,101.75,64.70B,,,,
1,STARHEALTH.NS,580.25,Finance,Life/Health Insurance,80.0,77.0,70.0,78.0,17.775,17.3607,1154.81K,595.8,412.6,341.42B,518.6,478.4,524.02,480.71
2,NIVABUPA.NS,86.87,Finance,Life/Health Insurance,68.0,65.0,63.0,73.0,2.7336,2.6979,2269.41K,92.9,67.5,160.51B,81.19,77.71,81.94,77.28
3,CANHLIFE.NS,141.38,Finance,Life/Health Insurance,65.0,49.0,17.0,72.0,4.1543,4.1114,609.53K,159.0,106.0,133.96B,140.68,,140.35,141.13
4,LICI.NS,440.15,Finance,Life/Health Insurance,53.0,74.0,49.0,54.0,9.8,9.1643,3819.97K,490.0,360.75,2783.95B,406.44,423.25,408.35,413.26
5,MFSL.NS,1669.3,Finance,Life/Health Insurance,50.0,51.0,24.0,48.0,46.8071,44.15,536.22K,1892.5,1433.6,573.32B,1634.4,1645.75,1636.64,1663.07
1,MAHABANK.NS,90.19,Finance,Major Banks,90.0,81.0,83.0,91.0,2.7507,2.6421,22084.00K,91.2,51.71,693.70B,80.13,65.89,80.69,69.69
2,SOUTHBANK.NS,48.46,Finance,Major Banks,86.0,85.0,75.0,78.0,1.6814,1.6529,22834.62K,49.79,28.11,126.85B,41.53,38.39,41.8,40.34
3,RBLBANK.NS,378.85,Finance,Major Banks,85.0,82.0,71.0,79.0,11.1679,10.9464,5237.68K,379.9,222.8,234.67B,338.65,311.44,343.05,319.25
4,DHANBANK.NS,34.31,Finance,Major Banks,84.0,59.0,88.0,85.0,1.5536,1.5257,1328.52K,35.17,19.45,13.54B,31.34,26.57,31.34,26.64
5,FEDERALBNK.NS,323.95,Finance,Major Banks,84.0,77.0,67.0,79.0,7.5786,7.3536,8973.60K,324.9,185.11,798.54B,295.53,261.15,297.22,281.67
1,TATACOMM.NS,1988.8,Communications,Major Telecommunications,75.0,78.0,83.0,65.0,73.4,73.2429,630.57K,2049.9,1322.5,566.84B,1743.5,1703.97,1775.16,1676.11
2,ITI.NS,312.45,Communications,Major Telecommunications,58.0,72.0,48.0,56.0,10.2857,9.7571,678.85K,372.85,237.0,300.84B,296.86,299.09,298.39,290.34
3,RAILTEL.NS,319.4,Communications,Major Telecommunications,35.0,38.0,58.0,51.0,10.5357,9.4536,826.26K,436.5,245.0,102.51B,321.72,335.55,321.42,320.74
4,MTNL.NS,31.87,Communications,Major Telecommunications,32.0,75.0,72.0,24.0,1.2971,1.24,2528.24K,58.2,21.26,20.08B,30.75,34.63,30.96,31.28
5,ROUTE.NS,545.5,Communications,Major Telecommunications,14.0,63.0,60.0,17.0,19.55,18.9964,136.30K,1039.9,410.7,34.37B,521.57,624.05,520.58,560.09
1,PPARIVAH.BO,208.75,Transportation,Marine Shipping,88.0,94.0,84.0,84.0,7.75,7.425,80.64K,209.85,107.8,2.37B,157.7,154.4,161.4,160.46
2,DREDGECORP.NS,1136.0,Transportation,Marine Shipping,84.0,57.0,70.0,67.0,67.6214,65.75,327.35K,1286.0,538.0,31.81B,1027.41,899.68,1030.12,976.65
3,COASTCORP.NS,51.85,Transportation,Marine Shipping,77.0,5.0,48.0,76.0,2.7336,2.6693,131.56K,66.7,30.01,3.47B,54.89,45.6,55.92,49.03
4,GESHIP.NS,1437.7,Transportation,Marine Shipping,76.0,4.0,30.0,84.0,54.35,54.35,624.18K,1798.0,913.1,205.26B,1494.96,1243.66,1490.35,1325.56
5,GLOTTIS.NS,67.12,Transportation,Marine Shipping,69.0,21.0,89.0,70.0,2.25,2.2407,132.16K,93.0,37.0,6.20B,62.55,,63.02,56.16
1,GUJINJEC.BO,120.65,Distribution Services,Medical Distributors,97.0,85.0,92.0,98.0,6.6107,6.1893,53.23K,127.0,19.01,1.77B,106.01,55.79,107.33,70.78
2,APPL.BO,220.35,Distribution Services,Medical Distributors,97.0,87.0,90.0,97.0,5.9643,0.7,24.72K,238.8,32.32,3.78B,181.96,,184.62,127.31
3,BIJHANS.BO,60.88,Distribution Services,Medical Distributors,92.0,58.0,57.0,82.0,0.2064,0.0,0.21K,60.88,23.0,2.92B,57.24,48.97,57.46,53.01
4,SPML.BO,206.25,Distribution Services,Medical Distributors,91.0,7.0,,,8.2107,6.5857,7.20K,381.2,121.1,1.81B,247.94,,253.41,
5,RAMAVISION.BO,138.35,Distribution Services,Medical Distributors,81.0,6.0,40.0,69.0,8.1679,7.8821,2.19K,190.85,74.0,1.44B,155.19,127.31,153.47,137.87
1,HSIL.BO,379.4,Health Technology,Medical Specialties,94.0,14.0,83.0,86.0,19.4857,18.5143,21.44K,446.0,91.0,5.52B,351.36,305.31,356.11,305.88
2,SDL.BO,38.5,Health Technology,Medical Specialties,83.0,58.0,47.0,71.0,0.1307,0.0,0.08K,38.5,19.01,279.63M,36.86,32.1,37.04,34.76
3,SETL.NS,186.11,Health Technology,Medical Specialties,81.0,95.0,91.0,77.0,8.7293,8.3707,931.15K,203.95,104.56,38.89B,143.22,149.5,145.55,137.21
4,CHOKSI.BO,154.65,Health Technology,Medical Specialties,81.0,78.0,37.0,81.0,5.2929,5.2821,3.48K,212.9,75.0,881.68M,144.8,123.02,149.18,137.83
5,LENSKART.NS,511.95,Health Technology,Medical Specialties,70.0,60.0,26.0,80.0,12.4071,12.2714,4845.44K,557.65,356.1,886.41B,511.12,,509.31,485.41
1,ASPIRA.BO,122.0,Health Services,Medical/Nursing Services,95.0,76.0,96.0,94.0,2.4857,1.5179,1.84K,135.88,49.0,1.26B,92.35,70.19,96.14,73.55
2,JSTL.BO,80.04,Health Services,Medical/Nursing Services,91.0,20.0,75.0,83.0,4.0479,4.0479,22.05K,93.9,32.85,1.59B,80.65,64.11,81.71,70.66
3,NEPHROPLUS.NS,733.75,Health Services,Medical/Nursing Services,88.0,87.0,81.0,,37.2464,37.2464,269.33K,769.75,446.0,73.63B,612.82,,620.15,
4,VIJAYA.NS,1364.2,Health Services,Medical/Nursing Services,86.0,67.0,86.0,84.0,63.85,62.9571,204.85K,1427.8,848.0,140.37B,1211.45,1051.71,1238.52,1064.2
5,THYROCARE.NS,540.55,Health Services,Medical/Nursing Services,85.0,80.0,87.0,81.0,22.8643,22.6179,511.29K,578.25,318.07,86.03B,468.43,436.24,469.27,432.57
1,MODMA.BO,70.12,Producer Manufacturing,Metal Fabrication,98.0,85.0,98.0,98.0,1.4193,0.4479,1.47K,85.79,1.1,8.17B,61.31,20.48,63.4,28.09
2,OMNI.NS,494.5,Producer Manufacturing,Metal Fabrication,96.0,88.0,97.0,,31.0393,29.8393,483.36K,548.0,176.25,61.15B,428.56,,438.09,
3,SATANIBRG.BO,272.0,Producer Manufacturing,Metal Fabrication,94.0,25.0,11.0,97.0,0.85,0.7786,0.01K,310.25,103.1,5.44B,280.6,216.46,279.88,265.26
