Rank,Industry,Sector,RS,1 M_RS,3M_RS,6M_RS,Ticker
20,Pharmaceuticals: Major,Health Technology,60,56,59,59,"VINRKLB.BO,VENUSREM.NS,BLISSGVS.NS,PARMAX.BO,NOVARTIND.NS,NGLFINE.NS,ACUTAAS.NS,SAKAR.NS,FREDUN.BO,SENORES.NS,PHRMASI.BO,NOVELIX.BO,SPARC.NS,INDSWFTLAB.NS,ASTONEALAB.BO,LAURUSLABS.NS,SHILPAMED.NS,BAFNAPH.NS,VIKRAMTH.BO,ORCHPHARMA.NS,SUVEN.NS,BETA.NS,SUPRIYA.NS,SUDARSHAN.BO,PANACEABIO.NS,SAIPARENT.NS,KPL.NS,WOCKPHARMA.NS,GODAVARI.BO,AMANTA.NS,MARKSANS.NS,COLINZ.BO,KOPRAN.NS,AAREYDRUGS.NS,VIYASH.NS,NEULANDLAB.NS,SGRL.BO,CAPLIPOINT.NS,GLAND.NS,CONCORD.BO,HESTERBIO.NS,EMCURE.NS,CORONA.NS,ANG.BO,THEMISMED.NS,INNOVACAP.NS,STAR.NS,GUJTHEM.NS,SMSPHARMA.NS,BPLPHARMA.BO,MOREPENLAB.NS,TORNTPHARM.NS,JBCHEPHARM.NS,ZYDUSLIFE.NS,AJANTPHARM.NS,ALIVUS.NS,MANKIND.NS,BIOCON.NS,ZOTA.NS,PGHL.NS,IPCALAB.NS,GUFICBIO.NS,WANBURY.NS,PARNAXLAB.BO,VRL.BO,SOLARA.NS,TYCHE.BO,BALPHARMA.NS,KILITCH.NS,GLENMARK.NS,DIVISLAB.NS,SUNPHARMA.NS,LINCOLN.NS,RPGLIFE.NS,UNICHEMLAB.NS,WINDLAS.NS,ANURAS.NS,KREBSBIO.NS,INDGN.NS,BACPHAR.BO,FDC.NS,BLUEJET.NS,PPLPHARMA.NS,HEXAGON.NS,ALKEM.NS,JENBURPH.BO,BIOFILCHEM.NS,INDOCO.NS,SANOFICONR.NS,SHUKRAPHAR.BO,MERCURYLAB.BO,DRREDDY.NS,ROOPAIND.BO,MEDICO.NS,JUBLPHARMA.NS,SUNLOC.BO,PANCHSHEEL.BO,MAKERSL.BO,SMRUTHIORG.BO,LACTOSE.BO,HIKAL.NS,NATCOPHARM.NS,VALIANTLAB.NS,ALEMBICLTD.NS,KIMIABL.BO,ERIS.NS,COHANCE.NS,ALBERTDAVD.NS,AMBALALSA.NS,APLLTD.NS,AUROLAB.BO,ANUHPHR.NS,ASTRAZEN.NS,AARTIPHARM.NS,AARTIDRUGS.NS,PRAVEG.NS,ONESOURCE.NS,TLL.BO,TTKHLTCARE.NS,SYSCHEM.BO,BROOKS.NS,ZENOTECH.BO,STARSOURCE.BO,GLAXO.NS,ALPA.NS,ABBOTINDIA.NS,PFIZER.NS,DCAL.NS,PHARMAID.BO,SANOFI.NS,BAJAJHCARE.NS,GUJTERC.BO,SHELTER.BO,OXYGENTAPH.BO,SANJIVIN.BO,MEDICAMEQ.NS"
21,Industrial Specialties,Process Industries,59,56,62,58,"CDG.BO,FCL.NS,KELENRG.BO,BEEZAASAN.BO,PANAMAPET.NS,CFL.BO,RAIN.NS,GOCLCORP.NS,DHINDIA.BO,CARBORUNIV.NS,KOTYARK.NS,HSCL.NS,GRINDWELL.NS,VIPULORG.BO,SOLARINDS.NS,SEJALLTD.NS,TINNARUBR.NS,XPROINDIA.NS,GANDHAR.NS,SFL.NS,BORORENEW.NS,WAAREE.BO,HARDCAS.BO,BODALCHEM.NS,VISAKAIND.NS,ELANTAS.NS,BERGEPAINT.NS,AVIVA.BO,ASIANPAINT.NS,INDOKEM.BO,GRAPHITE.NS,PIDILITIND.NS,BEPL.NS,SPLPETRO.NS,INDIGOPNTS.NS,GOACARBON.NS,VINYOFL.BO,KANSAINER.NS,KAMAHOLD.NS,DYNAMIND.BO,JSWDULUX.NS,RUBFILA.NS,PCBL.NS,GMPL.BO,JYOTIRES.BO,PODDARMENT.NS,SRF.NS,HINDADH.BO,DICIND.NS,NIKHILAD.BO,AXELPOLY.BO,SHALPAINTS.NS,SIRCA.NS,ASSOCIATED.BO,DUROPACK.BO,ESTER.NS,MULTIBASE.BO,BRIGHTBR.BO,MHLXMIRU.NS,INNOVATORS.BO,RETINA.BO"
22,Environmental Services,Industrial Services,59,69,75,57,"BANKA.NS,EIEL.NS,ECORECO.BO,ORGANICREC.BO,CEWATER.NS"
23,Coal,Energy Minerals,59,46,49,69,"SOUTHWEST.NS,REFEX.NS,BHARATCOAL.NS,COALINDIA.NS,STRATMONT.BO"
24,Contract Drilling,Industrial Services,58,5,68,70,JINDRILL.NS
25,Auto Parts: Oem,Producer Manufacturing,58,56,52,57,"OMAXAUTO.NS,SEDEMAC.NS,SANSERA.NS,WHEELS.NS,BELRISE.NS,NRBBEARING.NS,UNIPARTS.NS,SJS.NS,RICOAUTO.NS,AMS.BO,CUMMINSIND.NS,SHRIPISTON.NS,GABRIEL.NS,RML.NS,BIMETAL.NS,SUNDRMBRAK.NS,MOTHERSON.NS,DIVGIITTS.NS,BHARATSE.NS,CARRARO.NS,ACGL.BO,SONACOMS.NS,MINDACORP.NS,RANEHOLDIN.NS,RACLGEAR.NS,GNA.NS,IGARASHI.NS,MUNJALAU.NS,LUMAXTECH.NS,BOSCHLTD.NS,INDNIPPON.NS,TENNIND.NS,JAMNAAUTO.NS,JBMA.NS,LUMAXIND.NS,SKFINDUS.NS,ZFCVINDIA.NS,JAYUSH.BO,AUTOIND.NS,MENNPIS.NS,KINETICENG.BO,ASAL.NS,PPAP.NS,SSWL.NS,FIEMIND.NS,JMA.NS,SUPRAJIT.NS,EXIDEIND.NS,PRICOLLTD.NS,VARROC.NS,CIEINDIA.NS,HIMTEK.BO,KROSS.NS,SNL.BO,ASKAUTOLTD.NS,SWARAJENG.NS,EMMFORCE.BO,AUTOAXLES.NS,TVSHLTD.NS,NDRAUTO.NS,MUNJALSHOW.NS,PRECAM.NS,ARISINT.BO,MACPLASQ.BO,AFLTD.BO,RASANDIK.BO,UNOMINDA.NS,UCAL.NS,HINDCOMPOS.NS,KRANTI.BO,SAMKRG.BO,SUNDRMFAST.NS,KALYANIFRG.NS,SHANTIGEAR.NS,PORWAL.BO,SHARDAMOTR.NS,MSUMI.NS,SUNCLAY.NS,ESCORTS.NS,HITECHGEAR.NS,ENKEIWHEL.BO,ALICON.NS,SALAUTO.BO,ISTLTD.BO,ZFSTEERING.NS,SINTERCOM.NS,REMSONSIND.NS,JAGANLAM.BO"
26,Medical/Nursing Services,Health Services,58,48,58,52,"ASPIRA.BO,JSTL.BO,THYROCARE.NS,GAUDIUMIVF.NS,NEPHROPLUS.NS,VIJAYA.NS,LOTUSEYE.NS,METROPOLIS.NS,LALPATHLAB.NS,AGARWALEYE.NS,CTLLAB.BO,DRAGARWQ.NS,SURAKSHA.NS,MAXIND.NS,JSLL.NS,STARIMAGIN.BO,LAXMIDENTL.NS,KRSNAA.NS,MDRC.BO"
27,Steel,Non-Energy Minerals,58,48,53,56,"STEELCO.BO,RSTL.BO,SALSTEEL.NS,CRIMSON.BO,COCKERILL.NS,MWL.NS,MAHASTEEL.NS,WELSPLSOL.NS,VENUSPIPES.NS,BMW.BO,REMIEDEL.BO,NEETUYOSHI.BO,UMIYA.BO,MSCTC.BO,SUNFLAG.NS,JAYNECOIND.NS,ELECTHERM.NS,GALLANTT.NS,STEELCAS.NS,GOODLUCK.NS,SUPERIRON.BO,MSPL.NS,LLOYDSME.NS,JINDALSAW.NS,KIRLOSIND.NS,VISACHROME.NS,MANAKSTEEL.NS,JTLIND.NS,NATGENI.BO,KAJARIR.BO,RATNAVEER.NS,SAIL.NS,KAMDHENU.NS,SCANSTL.NS,TIINDIA.NS,BGWTATO.BO,NCML.BO,HARIOMPIPE.NS,COSMICCRF.BO,KIOCL.NS,GPIL.NS,NSLNISP.NS,RSL.NS,TALBROSENG.BO,SHAHALLOYS.NS,JSWSTEEL.NS,PANCHMAHQ.BO,RATNAMANI.NS,VRUDDHI.BO,VSSL.NS,KSL.NS,SGIL.NS,SAMBHV.NS,MPKSTEELS.BO,NELCAST.NS,TATASTEEL.NS,SHBAJRG.NS,KANSHST.BO,MAHSEAMLES.NS,HITECH.NS,KIRLFER.NS,BANSALWIRE.NS,GANDHITUBE.NS,MUKANDLTD.NS,PRAKASH.NS,TULSYAN.BO,JINDALSTEL.NS,NITINCAST.BO,IMEC.BO,MAIDEN.BO,SURYAROSNI.NS,SARDAEN.NS,KVSCASTING.BO,BLOIN.BO,CHENFERRO.BO,APLAPOLLO.NS,VASWANI.NS,MANAKSIA.NS,SCODATUBES.NS,GUJINTRX.BO,JAIBALAJI.NS,BEEKAY.NS,RISHDIGA.BO,HISARMETAL.NS,ORISSAMINE.NS,ELECTCAST.NS,JSL.NS,VRAJ.NS,SURAJ.BO,INCREDIBLE.NS,PENIND.NS,BEDMUTHA.NS,VSTL.NS,CREATIVE.BO,MANAKCOAT.NS,AZADIND.BO,UNIAUTO.BO,SMLT.NS,SURAJLTD.NS,METALCO.BO,SHRDAIS.BO,GARGFUR.BO,VMSTMT.NS,MITTALSTL.BO"
28,Other Metals/Minerals,Non-Energy Minerals,58,40,52,58,"JTLDEFENCE.BO,PARMESHWAR.BO,VIDYAWIRES.NS,RAPICUT.BO,SBCL.NS,MANAKALUCO.NS,HINDCOPPER.NS,NRL.NS,POCL.NS,ASHAPURMIN.NS,IMFA.NS,MIDHANI.NS,HINDALCO.NS,SCBL.BO,SANDUMA.NS,MMP.NS,NMDC.NS,SERA.BO,HINDZINC.NS,GRAVITA.NS,MCL.NS,NILE.NS,MAITHANALL.NS,KACHCHH.BO,INDSILHYD.BO,JAINREC.NS,COCHINM.BO,SOUTHMG.BO,CUBEXTUB.NS,CHROME.BO,MOIL.NS,ZODJRDMKJ.BO,KRUPALU.BO,SHARVAYA.BO,SIYARAM.BO"
29,Major Banks,Finance,58,62,40,55,"MAHABANK.NS,DHANBANK.NS,SOUTHBANK.NS,RBLBANK.NS,FEDERALBNK.NS,BANDHANBNK.NS,AXISBANK.NS,UNIONBANK.NS,INDUSINDBK.NS,INDIANB.NS,BANKINDIA.NS,BANKBARODA.NS,CANBK.NS,IDBI.NS,KOTAKBANK.NS,IOB.NS,PNB.NS,CSBBANK.NS,CENTRALBK.NS,HDFCBANK.NS"
